date,State,Rt,Climate,Region,RtVarianceByState,ClimateVarianceByState
8/1/2020,AK,0.966742712,63.5,"Region 10 AK, ID, OR, WA",-2.103972167,1.317887974
8/2/2020,AK,0.97046394,61.5,"Region 10 AK, ID, OR, WA",-2.043162407,1.165595172
8/3/2020,AK,0.979909811,59,"Region 10 AK, ID, OR, WA",-1.888804449,0.975229169
8/4/2020,AK,0.981379048,60,"Region 10 AK, ID, OR, WA",-1.864795184,1.05137557
8/5/2020,AK,0.983695703,60.5,"Region 10 AK, ID, OR, WA",-1.826937994,1.089448771
8/6/2020,AK,0.988617679,59,"Region 10 AK, ID, OR, WA",-1.746506431,0.975229169
8/7/2020,AK,0.990213688,58.5,"Region 10 AK, ID, OR, WA",-1.720425545,0.937155968
8/8/2020,AK,0.991991469,58,"Region 10 AK, ID, OR, WA",-1.691374265,0.899082768
8/9/2020,AK,0.995778062,57,"Region 10 AK, ID, OR, WA",-1.629496354,0.822936367
8/10/2020,AK,1.00456524,57,"Region 10 AK, ID, OR, WA",-1.485902306,0.822936367
8/11/2020,AK,1.006039985,56.5,"Region 10 AK, ID, OR, WA",-1.461803033,0.784863166
8/12/2020,AK,1.008223759,56,"Region 10 AK, ID, OR, WA",-1.426117293,0.746789966
8/13/2020,AK,1.014014405,56.5,"Region 10 AK, ID, OR, WA",-1.33149052,0.784863166
8/14/2020,AK,1.020217804,57,"Region 10 AK, ID, OR, WA",-1.23011882,0.822936367
8/15/2020,AK,1.023987824,61,"Region 10 AK, ID, OR, WA",-1.168511734,1.127521971
8/16/2020,AK,1.025826724,60.5,"Region 10 AK, ID, OR, WA",-1.138461689,1.089448771
8/17/2020,AK,1.028060264,57.5,"Region 10 AK, ID, OR, WA",-1.101962707,0.861009567
8/18/2020,AK,1.030359501,58.5,"Region 10 AK, ID, OR, WA",-1.06439015,0.937155968
8/19/2020,AK,1.031514743,59,"Region 10 AK, ID, OR, WA",-1.045511976,0.975229169
8/20/2020,AK,1.03191681,59.5,"Region 10 AK, ID, OR, WA",-1.038941673,1.01330237
8/21/2020,AK,1.037131161,59,"Region 10 AK, ID, OR, WA",-0.953732318,0.975229169
8/22/2020,AK,1.036304657,60.5,"Region 10 AK, ID, OR, WA",-0.967238481,1.089448771
8/23/2020,AK,1.037922667,59.5,"Region 10 AK, ID, OR, WA",-0.940798069,1.01330237
8/24/2020,AK,1.039110164,56.5,"Region 10 AK, ID, OR, WA",-0.921392806,0.784863166
8/25/2020,AK,1.041242213,55.5,"Region 10 AK, ID, OR, WA",-0.88655232,0.708716765
8/26/2020,AK,1.045305428,56,"Region 10 AK, ID, OR, WA",-0.820154042,0.746789966
8/27/2020,AK,1.040571696,56,"Region 10 AK, ID, OR, WA",-0.89750945,0.746789966
8/28/2020,AK,1.043994186,53.5,"Region 10 AK, ID, OR, WA",-0.841581462,0.556423963
8/29/2020,AK,1.04589578,54.5,"Region 10 AK, ID, OR, WA",-0.810506914,0.632570364
8/30/2020,AK,1.044086692,54,"Region 10 AK, ID, OR, WA",-0.840069792,0.594497163
8/31/2020,AK,1.049186714,56.5,"Region 10 AK, ID, OR, WA",-0.756728723,0.784863166
9/1/2020,AK,1.051185819,55.5,"Region 10 AK, ID, OR, WA",-0.724060718,0.708716765
9/2/2020,AK,1.058496474,53.5,"Region 10 AK, ID, OR, WA",-0.604594998,0.556423963
9/3/2020,AK,1.059389499,53.5,"Region 10 AK, ID, OR, WA",-0.590001795,0.556423963
9/4/2020,AK,1.067397004,50.5,"Region 10 AK, ID, OR, WA",-0.45914863,0.327984759
9/5/2020,AK,1.072537953,48.5,"Region 10 AK, ID, OR, WA",-0.375138761,0.175691957
9/6/2020,AK,1.078918726,49.5,"Region 10 AK, ID, OR, WA",-0.270868536,0.251838358
9/7/2020,AK,1.088058003,54.5,"Region 10 AK, ID, OR, WA",-0.121520728,0.632570364
9/8/2020,AK,1.09089869,54,"Region 10 AK, ID, OR, WA",-0.075100165,0.594497163
9/9/2020,AK,1.101801075,52.5,"Region 10 AK, ID, OR, WA",0.103059147,0.480277561
9/10/2020,AK,1.106325588,50,"Region 10 AK, ID, OR, WA",0.176995641,0.289911559
9/11/2020,AK,1.116960873,47,"Region 10 AK, ID, OR, WA",0.350790188,0.061472355
9/12/2020,AK,1.125333121,47,"Region 10 AK, ID, OR, WA",0.487603734,0.061472355
9/13/2020,AK,1.132665478,48,"Region 10 AK, ID, OR, WA",0.607424093,0.137618756
9/14/2020,AK,1.141621401,49,"Region 10 AK, ID, OR, WA",0.753775656,0.213765157
9/15/2020,AK,1.142762486,50.5,"Region 10 AK, ID, OR, WA",0.772422486,0.327984759
9/16/2020,AK,1.148585869,51,"Region 10 AK, ID, OR, WA",0.867584224,0.36605796
9/17/2020,AK,1.159173125,53,"Region 10 AK, ID, OR, WA",1.040593914,0.518350762
9/18/2020,AK,1.16774436,51,"Region 10 AK, ID, OR, WA",1.180659169,0.36605796
9/19/2020,AK,1.161138052,50,"Region 10 AK, ID, OR, WA",1.072703406,0.289911559
9/20/2020,AK,1.166846152,47.5,"Region 10 AK, ID, OR, WA",1.165981269,0.099545556
9/21/2020,AK,1.170194403,47.5,"Region 10 AK, ID, OR, WA",1.220696095,0.099545556
9/22/2020,AK,1.172252025,49,"Region 10 AK, ID, OR, WA",1.254320345,0.213765157
9/23/2020,AK,1.173633218,49.5,"Region 10 AK, ID, OR, WA",1.276890856,0.251838358
9/24/2020,AK,1.171301586,46,"Region 10 AK, ID, OR, WA",1.238788922,-0.014674046
9/25/2020,AK,1.174598648,47,"Region 10 AK, ID, OR, WA",1.292667252,0.061472355
9/26/2020,AK,1.167262555,49,"Region 10 AK, ID, OR, WA",1.172785842,0.213765157
9/27/2020,AK,1.169145538,49,"Region 10 AK, ID, OR, WA",1.203556261,0.213765157
9/28/2020,AK,1.170131066,47,"Region 10 AK, ID, OR, WA",1.219661085,0.061472355
9/29/2020,AK,1.167322702,45.5,"Region 10 AK, ID, OR, WA",1.173768723,-0.052747247
9/30/2020,AK,1.163267318,50.5,"Region 10 AK, ID, OR, WA",1.107498414,0.327984759
10/1/2020,AK,1.158327183,52,"Region 10 AK, ID, OR, WA",1.026770109,0.442204361
10/2/2020,AK,1.157832132,53.5,"Region 10 AK, ID, OR, WA",1.018680325,0.556423963
10/3/2020,AK,1.149817053,50.5,"Region 10 AK, ID, OR, WA",0.88770339,0.327984759
10/4/2020,AK,1.147285285,46,"Region 10 AK, ID, OR, WA",0.846330971,-0.014674046
10/5/2020,AK,1.140695009,45.5,"Region 10 AK, ID, OR, WA",0.738637192,-0.052747247
10/6/2020,AK,1.142679209,43.5,"Region 10 AK, ID, OR, WA",0.77106163,-0.205040049
10/7/2020,AK,1.140341267,45.5,"Region 10 AK, ID, OR, WA",0.732856582,-0.052747247
10/8/2020,AK,1.142800447,45,"Region 10 AK, ID, OR, WA",0.773042818,-0.090820447
10/9/2020,AK,1.142370069,44,"Region 10 AK, ID, OR, WA",0.766009876,-0.166966848
10/10/2020,AK,1.139572862,42,"Region 10 AK, ID, OR, WA",0.720299834,-0.319259651
10/11/2020,AK,1.139473313,40,"Region 10 AK, ID, OR, WA",0.718673072,-0.471552453
10/12/2020,AK,1.136534308,39,"Region 10 AK, ID, OR, WA",0.670645864,-0.547698854
10/13/2020,AK,1.140422179,36.5,"Region 10 AK, ID, OR, WA",0.734178791,-0.738064857
10/14/2020,AK,1.137727695,35,"Region 10 AK, ID, OR, WA",0.690147378,-0.852284459
10/15/2020,AK,1.136981457,31,"Region 10 AK, ID, OR, WA",0.677952867,-1.156870063
10/16/2020,AK,1.135428393,28,"Region 10 AK, ID, OR, WA",0.652573758,-1.385309267
10/17/2020,AK,1.135105065,27.5,"Region 10 AK, ID, OR, WA",0.647290154,-1.423382467
10/18/2020,AK,1.12967239,27.5,"Region 10 AK, ID, OR, WA",0.558513098,-1.423382467
10/19/2020,AK,1.136972495,29.5,"Region 10 AK, ID, OR, WA",0.677806416,-1.271089665
