Index,date,State,Rt,Climate,Region,RtVarianceByState,ClimateVarianceByState,RtVarianceByRegion,ClimateVarianceByRegion
0,8/1/2020,AK,0.966742712,63.5,"Region 10 AK, ID, OR, WA",-2.103972167,1.317887974,-1.390384005,0.303943678
864,8/1/2020,FL,0.924722111,86,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.399044963,1.072898785,-0.965991833,1.219989317
1056,8/1/2020,HI,1.122770767,78,"Region 09 AZ, CA, HI, NV",2.487181402,-0.788684861,1.526896218,-0.30100332
4032,8/1/2020,TN,0.935125055,72.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.697150932,0.750535651,-0.830780484,0.197529594
3648,8/1/2020,PA,0.97513487,78.5,"Region 03 DC, DE, MD, PA, VA, WV",-2.201247537,1.209996461,-1.089337534,0.978864627
2976,8/1/2020,NJ,0.988091273,78.5,"Region 02 NJ, NY",-1.19630105,1.029051583,-1.36135936,1.069640603
1920,8/1/2020,MD,0.943861829,80,"Region 03 DC, DE, MD, PA, VA, WV",-1.684798216,1.126345669,-1.541108111,1.12076715
4608,8/1/2020,WI,0.986793594,72,"Region 05 IL, IN, MI, MN, OH, WI",-1.877614365,0.843371598,-1.09978317,0.85818071
4128,8/1/2020,TX,0.963819167,82,"Region 06 AR, LA, NM, OK, TX",-0.349533389,0.430673371,-0.807005302,0.810561227
2112,8/1/2020,MI,1.017704763,69.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.939435969,0.889149133,-0.759371861,0.659005882
2784,8/1/2020,NE,1.021769926,72.5,"Region 07 IA, KS, MO, NE",-1.018230018,0.591813594,-0.874328509,0.590350477
2496,8/1/2020,MT,0.987808437,77.5,"Region 08 CO, MT, ND, SD, UT, WY",-1.521218232,1.037350525,-1.603128614,0.935135035
4224,8/1/2020,UT,1.008870558,89.5,"Region 08 CO, MT, ND, SD, UT, WY",-1.898083748,1.464347048,-1.332359864,1.6919588
1632,8/1/2020,KY,1.008839366,78.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.78431509,1.063488793,0.127314783,0.651956137
3264,8/1/2020,NY,0.947120081,79.5,"Region 02 NJ, NY",-2.698177415,1.202525479,-2.160459118,1.164107483
