date,State,Rt,Climate,Region
8/1/2020,AK,0.966742712,63.5,"Region 10 AK, ID, OR, WA"
8/2/2020,AK,0.97046394,61.5,"Region 10 AK, ID, OR, WA"
8/3/2020,AK,0.979909811,59,"Region 10 AK, ID, OR, WA"
8/4/2020,AK,0.981379048,60,"Region 10 AK, ID, OR, WA"
8/5/2020,AK,0.983695703,60.5,"Region 10 AK, ID, OR, WA"
8/6/2020,AK,0.988617679,59,"Region 10 AK, ID, OR, WA"
8/7/2020,AK,0.990213688,58.5,"Region 10 AK, ID, OR, WA"
8/8/2020,AK,0.991991469,58,"Region 10 AK, ID, OR, WA"
8/9/2020,AK,0.995778062,57,"Region 10 AK, ID, OR, WA"
8/10/2020,AK,1.00456524,57,"Region 10 AK, ID, OR, WA"
8/11/2020,AK,1.006039985,56.5,"Region 10 AK, ID, OR, WA"
8/12/2020,AK,1.008223759,56,"Region 10 AK, ID, OR, WA"
8/13/2020,AK,1.014014405,56.5,"Region 10 AK, ID, OR, WA"
8/14/2020,AK,1.020217804,57,"Region 10 AK, ID, OR, WA"
8/15/2020,AK,1.023987824,61,"Region 10 AK, ID, OR, WA"
8/16/2020,AK,1.025826724,60.5,"Region 10 AK, ID, OR, WA"
8/17/2020,AK,1.028060264,57.5,"Region 10 AK, ID, OR, WA"
8/18/2020,AK,1.030359501,58.5,"Region 10 AK, ID, OR, WA"
8/19/2020,AK,1.031514743,59,"Region 10 AK, ID, OR, WA"
8/20/2020,AK,1.03191681,59.5,"Region 10 AK, ID, OR, WA"
8/21/2020,AK,1.037131161,59,"Region 10 AK, ID, OR, WA"
8/22/2020,AK,1.036304657,60.5,"Region 10 AK, ID, OR, WA"
8/23/2020,AK,1.037922667,59.5,"Region 10 AK, ID, OR, WA"
8/24/2020,AK,1.039110164,56.5,"Region 10 AK, ID, OR, WA"
8/25/2020,AK,1.041242213,55.5,"Region 10 AK, ID, OR, WA"
