date,State,Rt,Climate,Region
4/1/2020,AK,0.781024121,27,"Region 10 AK, ID, OR, WA"
4/2/2020,AK,0.773192274,28.5,"Region 10 AK, ID, OR, WA"
4/3/2020,AK,0.768387088,32,"Region 10 AK, ID, OR, WA"
4/4/2020,AK,0.761866583,36,"Region 10 AK, ID, OR, WA"
4/5/2020,AK,0.75937689,33,"Region 10 AK, ID, OR, WA"
4/6/2020,AK,0.757634489,26,"Region 10 AK, ID, OR, WA"
4/7/2020,AK,0.757502807,24.5,"Region 10 AK, ID, OR, WA"
4/8/2020,AK,0.756039385,27.5,"Region 10 AK, ID, OR, WA"
4/9/2020,AK,0.756815698,26.5,"Region 10 AK, ID, OR, WA"
4/10/2020,AK,0.759991546,27,"Region 10 AK, ID, OR, WA"
4/11/2020,AK,0.764379637,30.5,"Region 10 AK, ID, OR, WA"
4/12/2020,AK,0.769151857,34,"Region 10 AK, ID, OR, WA"
4/13/2020,AK,0.779603786,38.5,"Region 10 AK, ID, OR, WA"
4/14/2020,AK,0.793752659,39,"Region 10 AK, ID, OR, WA"
4/15/2020,AK,0.802006738,42.5,"Region 10 AK, ID, OR, WA"
4/16/2020,AK,0.814780627,41,"Region 10 AK, ID, OR, WA"
4/17/2020,AK,0.827772261,39,"Region 10 AK, ID, OR, WA"
4/18/2020,AK,0.844216355,40.5,"Region 10 AK, ID, OR, WA"
4/19/2020,AK,0.85513419,43.5,"Region 10 AK, ID, OR, WA"
4/20/2020,AK,0.869796115,43.5,"Region 10 AK, ID, OR, WA"
4/21/2020,AK,0.886832588,40.5,"Region 10 AK, ID, OR, WA"
4/22/2020,AK,0.906515749,42,"Region 10 AK, ID, OR, WA"
4/23/2020,AK,0.923174703,43.5,"Region 10 AK, ID, OR, WA"
4/24/2020,AK,0.944097536,44.5,"Region 10 AK, ID, OR, WA"
4/25/2020,AK,0.965455762,43.5,"Region 10 AK, ID, OR, WA"
4/26/2020,AK,0.987959323,40.5,"Region 10 AK, ID, OR, WA"
4/27/2020,AK,1.009911981,38.5,"Region 10 AK, ID, OR, WA"
4/28/2020,AK,1.037019754,42,"Region 10 AK, ID, OR, WA"
4/29/2020,AK,1.057084956,41,"Region 10 AK, ID, OR, WA"
4/30/2020,AK,1.08646653,42.5,"Region 10 AK, ID, OR, WA"
5/1/2020,AK,1.11080581,44.5,"Region 10 AK, ID, OR, WA"
5/2/2020,AK,1.137980536,45,"Region 10 AK, ID, OR, WA"
5/3/2020,AK,1.159906321,49,"Region 10 AK, ID, OR, WA"
5/4/2020,AK,1.18915809,45,"Region 10 AK, ID, OR, WA"
5/5/2020,AK,1.214688484,47,"Region 10 AK, ID, OR, WA"
5/6/2020,AK,1.236208827,49,"Region 10 AK, ID, OR, WA"
5/7/2020,AK,1.262694203,51.5,"Region 10 AK, ID, OR, WA"
5/8/2020,AK,1.284006042,47.5,"Region 10 AK, ID, OR, WA"
5/9/2020,AK,1.310391766,55.5,"Region 10 AK, ID, OR, WA"
5/10/2020,AK,1.331235108,52.5,"Region 10 AK, ID, OR, WA"
5/11/2020,AK,1.34745916,48.5,"Region 10 AK, ID, OR, WA"
5/12/2020,AK,1.363291482,49.5,"Region 10 AK, ID, OR, WA"
5/13/2020,AK,1.374194771,49,"Region 10 AK, ID, OR, WA"
5/14/2020,AK,1.384049665,47.5,"Region 10 AK, ID, OR, WA"
5/15/2020,AK,1.390932695,53.5,"Region 10 AK, ID, OR, WA"
5/16/2020,AK,1.390224857,50,"Region 10 AK, ID, OR, WA"
5/17/2020,AK,1.38952955,53.5,"Region 10 AK, ID, OR, WA"
5/18/2020,AK,1.387500112,50,"Region 10 AK, ID, OR, WA"
5/19/2020,AK,1.380344322,53,"Region 10 AK, ID, OR, WA"
5/20/2020,AK,1.367665491,53,"Region 10 AK, ID, OR, WA"
5/21/2020,AK,1.350433284,50,"Region 10 AK, ID, OR, WA"
5/22/2020,AK,1.334130304,49,"Region 10 AK, ID, OR, WA"
5/23/2020,AK,1.318099327,48.5,"Region 10 AK, ID, OR, WA"
5/24/2020,AK,1.299632874,49.5,"Region 10 AK, ID, OR, WA"
5/25/2020,AK,1.286579015,48.5,"Region 10 AK, ID, OR, WA"
5/26/2020,AK,1.270829723,50.5,"Region 10 AK, ID, OR, WA"
5/27/2020,AK,1.257550454,50.5,"Region 10 AK, ID, OR, WA"
5/28/2020,AK,1.245345357,57.5,"Region 10 AK, ID, OR, WA"
5/29/2020,AK,1.235067895,60.5,"Region 10 AK, ID, OR, WA"
5/30/2020,AK,1.223664962,52.5,"Region 10 AK, ID, OR, WA"
5/31/2020,AK,1.216887725,51.5,"Region 10 AK, ID, OR, WA"
6/1/2020,AK,1.211375773,52.5,"Region 10 AK, ID, OR, WA"
6/2/2020,AK,1.208989714,55,"Region 10 AK, ID, OR, WA"
6/3/2020,AK,1.20709111,56.5,"Region 10 AK, ID, OR, WA"
6/4/2020,AK,1.208369147,54,"Region 10 AK, ID, OR, WA"
6/5/2020,AK,1.208251855,57,"Region 10 AK, ID, OR, WA"
6/6/2020,AK,1.209191314,54,"Region 10 AK, ID, OR, WA"
6/7/2020,AK,1.220274629,54.5,"Region 10 AK, ID, OR, WA"
6/8/2020,AK,1.222843312,51,"Region 10 AK, ID, OR, WA"
6/9/2020,AK,1.231152759,51.5,"Region 10 AK, ID, OR, WA"
6/10/2020,AK,1.233605808,55,"Region 10 AK, ID, OR, WA"
6/11/2020,AK,1.239181441,55,"Region 10 AK, ID, OR, WA"
6/12/2020,AK,1.250195058,54,"Region 10 AK, ID, OR, WA"
6/13/2020,AK,1.260887209,55,"Region 10 AK, ID, OR, WA"
6/14/2020,AK,1.264590151,55,"Region 10 AK, ID, OR, WA"
6/15/2020,AK,1.27101929,57.5,"Region 10 AK, ID, OR, WA"
6/16/2020,AK,1.280701644,59.5,"Region 10 AK, ID, OR, WA"
6/17/2020,AK,1.281656878,58.5,"Region 10 AK, ID, OR, WA"
6/18/2020,AK,1.288872118,60,"Region 10 AK, ID, OR, WA"
6/19/2020,AK,1.290143713,51.5,"Region 10 AK, ID, OR, WA"
6/20/2020,AK,1.290753356,55,"Region 10 AK, ID, OR, WA"
6/21/2020,AK,1.288597852,59,"Region 10 AK, ID, OR, WA"
6/22/2020,AK,1.286939434,57,"Region 10 AK, ID, OR, WA"
6/23/2020,AK,1.281464682,56.5,"Region 10 AK, ID, OR, WA"
6/24/2020,AK,1.272140044,55.5,"Region 10 AK, ID, OR, WA"
6/25/2020,AK,1.270321811,56.5,"Region 10 AK, ID, OR, WA"
6/26/2020,AK,1.256548542,57.5,"Region 10 AK, ID, OR, WA"
6/27/2020,AK,1.250715823,56.5,"Region 10 AK, ID, OR, WA"
6/28/2020,AK,1.237995766,53,"Region 10 AK, ID, OR, WA"
6/29/2020,AK,1.227607832,55.5,"Region 10 AK, ID, OR, WA"
6/30/2020,AK,1.209846806,57,"Region 10 AK, ID, OR, WA"
7/1/2020,AK,1.193838588,60,"Region 10 AK, ID, OR, WA"
7/2/2020,AK,1.177465735,61.5,"Region 10 AK, ID, OR, WA"
7/3/2020,AK,1.162351871,63.5,"Region 10 AK, ID, OR, WA"
7/4/2020,AK,1.142085795,65,"Region 10 AK, ID, OR, WA"
7/5/2020,AK,1.125855539,63,"Region 10 AK, ID, OR, WA"
7/6/2020,AK,1.107925251,59.5,"Region 10 AK, ID, OR, WA"
7/7/2020,AK,1.087921348,60.5,"Region 10 AK, ID, OR, WA"
