,date,State,Rt,Climate,Region,RtNormalized,ClimateNormalized
0,4/1/2020,AK,0.781024121,27,"Region 10 AK, ID, OR, WA",-2.088892059,-2.240566963
1,4/2/2020,AK,0.773192274,28.5,"Region 10 AK, ID, OR, WA",-2.139847407,-2.094827957
2,4/3/2020,AK,0.768387088,32,"Region 10 AK, ID, OR, WA",-2.171110776,-1.754770276
3,4/4/2020,AK,0.761866583,36,"Region 10 AK, ID, OR, WA",-2.213534306,-1.366132926
4,4/5/2020,AK,0.75937689,33,"Region 10 AK, ID, OR, WA",-2.229732679,-1.657610938
5,4/6/2020,AK,0.757634489,26,"Region 10 AK, ID, OR, WA",-2.24106904,-2.3377263
6,4/7/2020,AK,0.757502807,24.5,"Region 10 AK, ID, OR, WA",-2.241925786,-2.483465306
7,4/8/2020,AK,0.756039385,27.5,"Region 10 AK, ID, OR, WA",-2.251447062,-2.191987294
8,4/9/2020,AK,0.756815698,26.5,"Region 10 AK, ID, OR, WA",-2.246396236,-2.289146632
9,4/10/2020,AK,0.759991546,27,"Region 10 AK, ID, OR, WA",-2.225733621,-2.240566963
10,4/11/2020,AK,0.764379637,30.5,"Region 10 AK, ID, OR, WA",-2.197183944,-1.900509282
11,4/12/2020,AK,0.769151857,34,"Region 10 AK, ID, OR, WA",-2.166135057,-1.560451601
12,4/13/2020,AK,0.779603786,38.5,"Region 10 AK, ID, OR, WA",-2.098133004,-1.123234583
13,4/14/2020,AK,0.793752659,39,"Region 10 AK, ID, OR, WA",-2.006077995,-1.074654914
14,4/15/2020,AK,0.802006738,42.5,"Region 10 AK, ID, OR, WA",-1.952375533,-0.734597233
15,4/16/2020,AK,0.814780627,41,"Region 10 AK, ID, OR, WA",-1.869266408,-0.880336239
16,4/17/2020,AK,0.827772261,39,"Region 10 AK, ID, OR, WA",-1.784740595,-1.074654914
17,4/18/2020,AK,0.844216355,40.5,"Region 10 AK, ID, OR, WA",-1.677752483,-0.928915908
18,4/19/2020,AK,0.85513419,43.5,"Region 10 AK, ID, OR, WA",-1.606719165,-0.637437896
19,4/20/2020,AK,0.869796115,43.5,"Region 10 AK, ID, OR, WA",-1.511326152,-0.637437896
20,4/21/2020,AK,0.886832588,40.5,"Region 10 AK, ID, OR, WA",-1.400483919,-0.928915908
21,4/22/2020,AK,0.906515749,42,"Region 10 AK, ID, OR, WA",-1.272421878,-0.783176902
22,4/23/2020,AK,0.923174703,43.5,"Region 10 AK, ID, OR, WA",-1.164035849,-0.637437896
23,4/24/2020,AK,0.944097536,44.5,"Region 10 AK, ID, OR, WA",-1.027908288,-0.540278558
24,4/25/2020,AK,0.965455762,43.5,"Region 10 AK, ID, OR, WA",-0.888947985,-0.637437896
25,4/26/2020,AK,0.987959323,40.5,"Region 10 AK, ID, OR, WA",-0.742535935,-0.928915908
26,4/27/2020,AK,1.009911981,38.5,"Region 10 AK, ID, OR, WA",-0.599708155,-1.123234583
27,4/28/2020,AK,1.037019754,42,"Region 10 AK, ID, OR, WA",-0.423340307,-0.783176902
28,4/29/2020,AK,1.057084956,41,"Region 10 AK, ID, OR, WA",-0.292792642,-0.880336239
29,4/30/2020,AK,1.08646653,42.5,"Region 10 AK, ID, OR, WA",-0.101631052,-0.734597233
30,5/1/2020,AK,1.11080581,44.5,"Region 10 AK, ID, OR, WA",0.056724502,-0.540278558
31,5/2/2020,AK,1.137980536,45,"Region 10 AK, ID, OR, WA",0.233527958,-0.49169889
32,5/3/2020,AK,1.159906321,49,"Region 10 AK, ID, OR, WA",0.376180898,-0.10306154
33,5/4/2020,AK,1.18915809,45,"Region 10 AK, ID, OR, WA",0.566497953,-0.49169889
34,5/5/2020,AK,1.214688484,47,"Region 10 AK, ID, OR, WA",0.732603101,-0.297380215
35,5/6/2020,AK,1.236208827,49,"Region 10 AK, ID, OR, WA",0.872618165,-0.10306154
36,5/7/2020,AK,1.262694203,51.5,"Region 10 AK, ID, OR, WA",1.04493659,0.139836803
37,5/8/2020,AK,1.284006042,47.5,"Region 10 AK, ID, OR, WA",1.183595092,-0.248800546
38,5/9/2020,AK,1.310391766,55.5,"Region 10 AK, ID, OR, WA",1.355265164,0.528474153
39,5/10/2020,AK,1.331235108,52.5,"Region 10 AK, ID, OR, WA",1.490875543,0.236996141
40,5/11/2020,AK,1.34745916,48.5,"Region 10 AK, ID, OR, WA",1.596432024,-0.151641209
41,5/12/2020,AK,1.363291482,49.5,"Region 10 AK, ID, OR, WA",1.699439842,-0.054481871
42,5/13/2020,AK,1.374194771,49,"Region 10 AK, ID, OR, WA",1.770378522,-0.10306154
43,5/14/2020,AK,1.384049665,47.5,"Region 10 AK, ID, OR, WA",1.834496162,-0.248800546
44,5/15/2020,AK,1.390932695,53.5,"Region 10 AK, ID, OR, WA",1.879278343,0.334155478
45,5/16/2020,AK,1.390224857,50,"Region 10 AK, ID, OR, WA",1.874673027,-0.005902203
46,5/17/2020,AK,1.38952955,53.5,"Region 10 AK, ID, OR, WA",1.870149239,0.334155478
47,5/18/2020,AK,1.387500112,50,"Region 10 AK, ID, OR, WA",1.856945365,-0.005902203
48,5/19/2020,AK,1.380344322,53,"Region 10 AK, ID, OR, WA",1.810388561,0.285575809
49,5/20/2020,AK,1.367665491,53,"Region 10 AK, ID, OR, WA",1.727897899,0.285575809
50,5/21/2020,AK,1.350433284,50,"Region 10 AK, ID, OR, WA",1.615782188,-0.005902203
51,5/22/2020,AK,1.334130304,49,"Region 10 AK, ID, OR, WA",1.509712187,-0.10306154
52,5/23/2020,AK,1.318099327,48.5,"Region 10 AK, ID, OR, WA",1.405411885,-0.151641209
53,5/24/2020,AK,1.299632874,49.5,"Region 10 AK, ID, OR, WA",1.285265956,-0.054481871
54,5/25/2020,AK,1.286579015,48.5,"Region 10 AK, ID, OR, WA",1.200335298,-0.151641209
55,5/26/2020,AK,1.270829723,50.5,"Region 10 AK, ID, OR, WA",1.097867687,0.042677466
56,5/27/2020,AK,1.257550454,50.5,"Region 10 AK, ID, OR, WA",1.011470472,0.042677466
57,5/28/2020,AK,1.245345357,57.5,"Region 10 AK, ID, OR, WA",0.932062005,0.722792828
58,5/29/2020,AK,1.235067895,60.5,"Region 10 AK, ID, OR, WA",0.865195065,1.01427084
59,5/30/2020,AK,1.223664962,52.5,"Region 10 AK, ID, OR, WA",0.791005615,0.236996141
60,5/31/2020,AK,1.216887725,51.5,"Region 10 AK, ID, OR, WA",0.746911742,0.139836803
61,6/1/2020,AK,1.211375773,52.5,"Region 10 AK, ID, OR, WA",0.711050032,0.236996141
62,6/2/2020,AK,1.208989714,55,"Region 10 AK, ID, OR, WA",0.69552592,0.479894484
63,6/3/2020,AK,1.20709111,56.5,"Region 10 AK, ID, OR, WA",0.683173275,0.62563349
64,6/4/2020,AK,1.208369147,54,"Region 10 AK, ID, OR, WA",0.691488404,0.382735147
65,6/5/2020,AK,1.208251855,57,"Region 10 AK, ID, OR, WA",0.690725282,0.674213159
66,6/6/2020,AK,1.209191314,54,"Region 10 AK, ID, OR, WA",0.696837564,0.382735147
67,6/7/2020,AK,1.220274629,54.5,"Region 10 AK, ID, OR, WA",0.768947524,0.431314816
68,6/8/2020,AK,1.222843312,51,"Region 10 AK, ID, OR, WA",0.785659819,0.091257135
69,6/9/2020,AK,1.231152759,51.5,"Region 10 AK, ID, OR, WA",0.839722514,0.139836803
70,6/10/2020,AK,1.233605808,55,"Region 10 AK, ID, OR, WA",0.855682474,0.479894484
71,6/11/2020,AK,1.239181441,55,"Region 10 AK, ID, OR, WA",0.891958505,0.479894484
72,6/12/2020,AK,1.250195058,54,"Region 10 AK, ID, OR, WA",0.963614997,0.382735147
73,6/13/2020,AK,1.260887209,55,"Region 10 AK, ID, OR, WA",1.033179976,0.479894484
74,6/14/2020,AK,1.264590151,55,"Region 10 AK, ID, OR, WA",1.057271955,0.479894484
75,6/15/2020,AK,1.27101929,57.5,"Region 10 AK, ID, OR, WA",1.099101043,0.722792828
76,6/16/2020,AK,1.280701644,59.5,"Region 10 AK, ID, OR, WA",1.162096108,0.917111503
77,6/17/2020,AK,1.281656878,58.5,"Region 10 AK, ID, OR, WA",1.168311025,0.819952165
78,6/18/2020,AK,1.288872118,60,"Region 10 AK, ID, OR, WA",1.215254622,0.965691171
79,6/19/2020,AK,1.290143713,51.5,"Region 10 AK, ID, OR, WA",1.223527838,0.139836803
80,6/20/2020,AK,1.290753356,55,"Region 10 AK, ID, OR, WA",1.227494281,0.479894484
81,6/21/2020,AK,1.288597852,59,"Region 10 AK, ID, OR, WA",1.2134702,0.868531834
82,6/22/2020,AK,1.286939434,57,"Region 10 AK, ID, OR, WA",1.202680246,0.674213159
83,6/23/2020,AK,1.281464682,56.5,"Region 10 AK, ID, OR, WA",1.167060565,0.62563349
84,6/24/2020,AK,1.272140044,55.5,"Region 10 AK, ID, OR, WA",1.106392862,0.528474153
85,6/25/2020,AK,1.270321811,56.5,"Region 10 AK, ID, OR, WA",1.094563124,0.62563349
