ds,y
1/1/2016,11
1/2/2016,15
1/3/2016,21
1/4/2016,13
1/5/2016,18
1/6/2016,13
1/7/2016,12
1/8/2016,21
1/9/2016,13
1/10/2016,24
1/11/2016,19
1/12/2016,16
1/13/2016,17
1/14/2016,39
1/15/2016,26
1/16/2016,17
1/17/2016,25
1/18/2016,20
1/19/2016,26
1/20/2016,23
1/21/2016,43
1/22/2016,34
1/23/2016,37
1/24/2016,50
1/25/2016,36
1/26/2016,52
1/27/2016,52
1/28/2016,56
1/29/2016,65
1/30/2016,46
1/31/2016,63
2/1/2016,84
2/2/2016,67
2/3/2016,82
2/4/2016,93
2/5/2016,81
2/6/2016,91
2/7/2016,83
2/8/2016,97
2/9/2016,114
2/10/2016,110
2/11/2016,106
2/12/2016,82
2/13/2016,154
2/14/2016,172
2/15/2016,172
2/16/2016,182
2/17/2016,212
2/18/2016,187
2/19/2016,195
2/20/2016,192
2/21/2016,211
2/22/2016,209
2/23/2016,191
2/24/2016,216
2/25/2016,190
2/26/2016,183
2/27/2016,186
2/28/2016,210
2/29/2016,217
3/1/2016,222
3/2/2016,201
3/3/2016,194
3/4/2016,160
3/5/2016,175
3/6/2016,240
3/7/2016,186
3/8/2016,183
3/9/2016,228
3/10/2016,185
3/11/2016,133
3/12/2016,164
3/13/2016,168
3/14/2016,171
3/15/2016,153
3/16/2016,133
3/17/2016,135
3/18/2016,117
3/19/2016,110
3/20/2016,105
3/21/2016,111
3/22/2016,82
3/23/2016,86
3/24/2016,96
3/25/2016,93
3/26/2016,111
3/27/2016,108
3/28/2016,99
3/29/2016,71
3/30/2016,88
3/31/2016,74
4/1/2016,68
4/2/2016,70
4/3/2016,71
4/4/2016,69
4/5/2016,70
4/6/2016,59
4/7/2016,64
4/8/2016,83
4/9/2016,47
4/10/2016,55
4/11/2016,58
4/12/2016,62
4/13/2016,61
4/14/2016,51
4/15/2016,28
4/16/2016,53
4/17/2016,60
4/18/2016,39
4/19/2016,37
4/20/2016,41
4/21/2016,44
4/22/2016,31
4/23/2016,40
4/24/2016,40
4/25/2016,40
4/26/2016,38
4/27/2016,24
4/28/2016,43
4/29/2016,33
4/30/2016,24
5/1/2016,33
5/2/2016,20
5/3/2016,21
5/4/2016,28
5/5/2016,26
5/6/2016,16
5/7/2016,13
5/8/2016,27
5/9/2016,17
5/10/2016,19
5/11/2016,28
5/12/2016,12
5/13/2016,13
5/14/2016,23
5/15/2016,24
5/16/2016,14
5/17/2016,17
5/18/2016,15
5/19/2016,16
5/20/2016,12
5/21/2016,10
5/22/2016,17
5/23/2016,6
5/24/2016,8
5/25/2016,7
5/26/2016,8
5/27/2016,7
5/28/2016,8
5/29/2016,10
5/30/2016,17
5/31/2016,11
6/1/2016,11
6/2/2016,5
6/3/2016,9
6/4/2016,7
6/5/2016,14
6/6/2016,8
6/7/2016,8
6/8/2016,4
6/9/2016,5
6/10/2016,8
