ds,y
1/6/2016,1
1/15/2016,1
1/23/2016,1
1/24/2016,1
1/29/2016,2
2/4/2016,1
2/8/2016,1
2/10/2016,2
2/12/2016,1
2/14/2016,2
2/16/2016,1
2/17/2016,2
2/19/2016,3
2/21/2016,2
2/22/2016,1
2/24/2016,1
2/25/2016,1
2/28/2016,2
3/1/2016,1
3/2/2016,1
3/4/2016,2
3/5/2016,1
3/6/2016,1
3/7/2016,3
3/8/2016,1
3/9/2016,1
3/11/2016,1
3/12/2016,1
3/13/2016,2
3/14/2016,1
3/18/2016,1
3/24/2016,1
3/25/2016,1
3/26/2016,4
3/30/2016,4
3/31/2016,1
4/4/2016,1
4/6/2016,1
4/12/2016,1
4/16/2016,1
4/17/2016,1
4/29/2016,1
5/15/2016,1
5/29/2016,1
6/5/2016,5
6/6/2016,7
6/7/2016,8
6/8/2016,4
6/9/2016,5
6/10/2016,7
6/11/2016,11
6/12/2016,4
6/13/2016,4
6/14/2016,6
6/15/2016,10
6/16/2016,4
6/17/2016,5
6/18/2016,5
6/19/2016,7
6/20/2016,2
6/21/2016,10
6/22/2016,7
6/23/2016,6
6/24/2016,6
6/25/2016,6
6/26/2016,5
6/27/2016,4
6/28/2016,6
6/29/2016,5
6/30/2016,6
7/2/2016,2
7/3/2016,4
7/4/2016,4
7/5/2016,2
7/6/2016,1
7/7/2016,2
7/8/2016,3
7/9/2016,2
7/10/2016,3
7/11/2016,2
7/12/2016,3
7/13/2016,2
7/14/2016,1
7/15/2016,3
7/16/2016,5
7/17/2016,10
7/18/2016,4
7/19/2016,4
7/20/2016,3
7/21/2016,1
7/22/2016,1
7/23/2016,2
7/24/2016,1
7/25/2016,4
7/26/2016,1
7/27/2016,4
7/28/2016,3
7/29/2016,2
7/30/2016,3
7/31/2016,2
8/1/2016,1
8/2/2016,5
8/3/2016,3
8/4/2016,6
8/5/2016,4
8/6/2016,6
8/7/2016,7
8/8/2016,3
8/9/2016,3
8/10/2016,4
8/11/2016,2
8/12/2016,2
8/13/2016,1
8/14/2016,2
8/15/2016,3
8/17/2016,3
8/18/2016,4
8/20/2016,2
8/21/2016,4
8/22/2016,7
8/23/2016,3
8/24/2016,4
8/25/2016,6
8/26/2016,4
8/27/2016,7
8/28/2016,5
8/29/2016,5
8/30/2016,7
8/31/2016,2
9/1/2016,4
9/2/2016,5
9/3/2016,1
9/4/2016,9
9/5/2016,2
9/6/2016,1
9/7/2016,1
9/8/2016,6
9/9/2016,9
9/10/2016,4
9/11/2016,2
9/12/2016,3
9/13/2016,7
9/14/2016,6
9/15/2016,9
9/16/2016,5
9/17/2016,1
9/18/2016,2
9/19/2016,6
9/20/2016,1
9/21/2016,10
9/22/2016,11
9/23/2016,6
9/24/2016,5
9/25/2016,6
9/26/2016,7
9/27/2016,2
9/28/2016,18
9/29/2016,3
9/30/2016,10
10/1/2016,4
10/2/2016,9
10/3/2016,11
10/4/2016,10
10/5/2016,3
10/6/2016,2
10/7/2016,5
10/8/2016,9
10/9/2016,7
10/10/2016,7
10/11/2016,4
10/12/2016,10
10/13/2016,18
10/14/2016,5
10/15/2016,8
10/16/2016,13
10/17/2016,13
10/18/2016,9
10/19/2016,7
10/20/2016,4
10/21/2016,6
10/22/2016,8
10/23/2016,9
10/24/2016,3
10/25/2016,14
10/26/2016,7
10/27/2016,9
10/28/2016,12
10/29/2016,4
10/30/2016,16
10/31/2016,12
11/1/2016,16
11/2/2016,14
11/3/2016,8
11/4/2016,17
11/5/2016,15
11/6/2016,14
11/7/2016,15
11/8/2016,12
11/9/2016,11
11/10/2016,14
11/11/2016,14
11/12/2016,10
11/13/2016,30
11/14/2016,16
11/15/2016,15
11/16/2016,11
11/17/2016,15
11/18/2016,10
11/19/2016,11
11/20/2016,20
11/21/2016,6
11/22/2016,11
11/23/2016,13
11/24/2016,19
11/25/2016,18
11/26/2016,14
11/27/2016,24
11/28/2016,18
11/29/2016,20
11/30/2016,28
12/1/2016,17
12/2/2016,14
12/3/2016,18
12/4/2016,33
12/5/2016,29
12/6/2016,22
12/7/2016,27
12/8/2016,23
12/9/2016,23
12/10/2016,21
12/11/2016,38
12/12/2016,31
12/13/2016,31
12/14/2016,32
12/15/2016,35
12/16/2016,38
12/17/2016,38
12/18/2016,46
12/19/2016,45
12/20/2016,33
12/21/2016,41
12/22/2016,46
12/23/2016,37
12/24/2016,49
12/25/2016,48
12/26/2016,84
12/27/2016,83
12/28/2016,57
12/29/2016,72
12/30/2016,54
12/31/2016,73
1/1/2017,63
1/2/2017,102
1/3/2017,89
