ds,Year,Month,y
1/1/2010,2010,1,161
1/2/2010,2010,1,197
1/3/2010,2010,1,189
1/4/2010,2010,1,185
1/5/2010,2010,1,153
1/6/2010,2010,1,155
1/7/2010,2010,1,166
1/8/2010,2010,1,168
1/9/2010,2010,1,133
1/10/2010,2010,1,159
1/11/2010,2010,1,159
1/12/2010,2010,1,167
1/13/2010,2010,1,169
1/14/2010,2010,1,171
1/15/2010,2010,1,185
1/16/2010,2010,1,175
1/17/2010,2010,1,157
1/18/2010,2010,1,181
1/19/2010,2010,1,171
1/20/2010,2010,1,166
1/21/2010,2010,1,184
1/22/2010,2010,1,178
1/23/2010,2010,1,145
1/24/2010,2010,1,173
1/25/2010,2010,1,208
1/26/2010,2010,1,177
1/27/2010,2010,1,166
1/28/2010,2010,1,170
1/29/2010,2010,1,183
1/30/2010,2010,1,161
1/31/2010,2010,1,152
2/1/2010,2010,2,169
2/2/2010,2010,2,167
2/3/2010,2010,2,147
2/4/2010,2010,2,168
2/5/2010,2010,2,140
2/6/2010,2010,2,179
2/7/2010,2010,2,156
2/8/2010,2010,2,180
2/9/2010,2010,2,160
2/10/2010,2010,2,164
2/11/2010,2010,2,153
2/12/2010,2010,2,152
2/13/2010,2010,2,165
2/14/2010,2010,2,156
2/15/2010,2010,2,186
2/16/2010,2010,2,185
2/17/2010,2010,2,168
2/18/2010,2010,2,188
2/19/2010,2010,2,172
2/20/2010,2010,2,177
2/21/2010,2010,2,175
2/22/2010,2010,2,219
2/23/2010,2010,2,185
2/24/2010,2010,2,172
2/25/2010,2010,2,176
2/26/2010,2010,2,163
2/27/2010,2010,2,159
2/28/2010,2010,2,157
3/1/2010,2010,3,224
3/2/2010,2010,3,182
3/3/2010,2010,3,167
3/4/2010,2010,3,176
3/5/2010,2010,3,171
3/6/2010,2010,3,171
3/7/2010,2010,3,191
3/8/2010,2010,3,223
3/9/2010,2010,3,169
3/10/2010,2010,3,167
3/11/2010,2010,3,174
3/12/2010,2010,3,187
3/13/2010,2010,3,169
3/14/2010,2010,3,202
3/15/2010,2010,3,198
3/16/2010,2010,3,198
3/17/2010,2010,3,183
3/18/2010,2010,3,179
3/19/2010,2010,3,183
3/20/2010,2010,3,160
3/21/2010,2010,3,151
3/22/2010,2010,3,216
3/23/2010,2010,3,195
3/24/2010,2010,3,192
3/25/2010,2010,3,172
3/26/2010,2010,3,169
3/27/2010,2010,3,179
3/28/2010,2010,3,186
3/29/2010,2010,3,194
3/30/2010,2010,3,195
3/31/2010,2010,3,181
4/1/2010,2010,4,192
4/2/2010,2010,4,198
4/3/2010,2010,4,206
4/4/2010,2010,4,169
4/5/2010,2010,4,193
4/6/2010,2010,4,185
4/7/2010,2010,4,169
4/8/2010,2010,4,174
4/9/2010,2010,4,170
4/10/2010,2010,4,177
4/11/2010,2010,4,179
4/12/2010,2010,4,176
4/13/2010,2010,4,194
4/14/2010,2010,4,165
4/15/2010,2010,4,180
4/16/2010,2010,4,176
4/17/2010,2010,4,164
4/18/2010,2010,4,154
4/19/2010,2010,4,196
4/20/2010,2010,4,193
4/21/2010,2010,4,206
4/22/2010,2010,4,177
4/23/2010,2010,4,172
4/24/2010,2010,4,168
4/25/2010,2010,4,188
4/26/2010,2010,4,205
4/27/2010,2010,4,189
4/28/2010,2010,4,182
4/29/2010,2010,4,168
4/30/2010,2010,4,155
5/1/2010,2010,5,159
5/2/2010,2010,5,198
5/3/2010,2010,5,195
5/4/2010,2010,5,172
5/5/2010,2010,5,188
5/6/2010,2010,5,188
5/7/2010,2010,5,164
5/8/2010,2010,5,162
5/9/2010,2010,5,163
5/10/2010,2010,5,199
5/11/2010,2010,5,185
5/12/2010,2010,5,181
5/13/2010,2010,5,155
5/14/2010,2010,5,184
5/15/2010,2010,5,171
5/16/2010,2010,5,183
5/17/2010,2010,5,186
5/18/2010,2010,5,210
5/19/2010,2010,5,190
5/20/2010,2010,5,192
5/21/2010,2010,5,193
5/22/2010,2010,5,183
5/23/2010,2010,5,180
5/24/2010,2010,5,184
5/25/2010,2010,5,181
5/26/2010,2010,5,178
5/27/2010,2010,5,173
5/28/2010,2010,5,180
5/29/2010,2010,5,167
