ds,year,Month,y
1/1/2010,2010,1,58
1/2/2010,2010,1,47
1/3/2010,2010,1,36
1/4/2010,2010,1,29
1/5/2010,2010,1,44
1/6/2010,2010,1,19
1/7/2010,2010,1,25
1/8/2010,2010,1,32
1/9/2010,2010,1,21
1/10/2010,2010,1,46
1/11/2010,2010,1,30
1/12/2010,2010,1,23
1/13/2010,2010,1,16
1/14/2010,2010,1,38
1/15/2010,2010,1,30
1/16/2010,2010,1,41
1/17/2010,2010,1,45
1/18/2010,2010,1,38
1/19/2010,2010,1,46
1/20/2010,2010,1,19
1/21/2010,2010,1,25
1/22/2010,2010,1,30
1/23/2010,2010,1,23
1/24/2010,2010,1,51
1/25/2010,2010,1,32
1/26/2010,2010,1,34
1/27/2010,2010,1,40
1/28/2010,2010,1,30
1/29/2010,2010,1,27
1/30/2010,2010,1,47
1/31/2010,2010,1,43
2/1/2010,2010,2,50
2/2/2010,2010,2,29
2/3/2010,2010,2,32
2/4/2010,2010,2,34
2/5/2010,2010,2,35
2/6/2010,2010,2,39
2/7/2010,2010,2,46
2/8/2010,2010,2,40
2/9/2010,2010,2,35
2/10/2010,2010,2,31
2/11/2010,2010,2,36
2/12/2010,2010,2,27
2/13/2010,2010,2,47
2/14/2010,2010,2,50
2/15/2010,2010,2,44
2/16/2010,2010,2,54
2/17/2010,2010,2,33
2/18/2010,2010,2,43
2/19/2010,2010,2,35
2/20/2010,2010,2,43
2/21/2010,2010,2,43
2/22/2010,2010,2,33
2/23/2010,2010,2,34
2/24/2010,2010,2,40
2/25/2010,2010,2,27
2/26/2010,2010,2,24
2/27/2010,2010,2,34
2/28/2010,2010,2,49
3/1/2010,2010,3,39
3/2/2010,2010,3,34
3/3/2010,2010,3,31
3/4/2010,2010,3,28
3/5/2010,2010,3,39
3/6/2010,2010,3,51
3/7/2010,2010,3,42
3/8/2010,2010,3,57
3/9/2010,2010,3,36
3/10/2010,2010,3,36
3/11/2010,2010,3,40
3/12/2010,2010,3,45
3/13/2010,2010,3,38
3/14/2010,2010,3,49
3/15/2010,2010,3,50
3/16/2010,2010,3,37
3/17/2010,2010,3,49
3/18/2010,2010,3,39
3/19/2010,2010,3,49
3/20/2010,2010,3,45
3/21/2010,2010,3,48
3/22/2010,2010,3,44
3/23/2010,2010,3,40
3/24/2010,2010,3,49
3/25/2010,2010,3,31
3/26/2010,2010,3,46
3/27/2010,2010,3,35
3/28/2010,2010,3,64
3/29/2010,2010,3,48
3/30/2010,2010,3,47
3/31/2010,2010,3,48
4/1/2010,2010,4,51
4/2/2010,2010,4,56
4/3/2010,2010,4,64
4/4/2010,2010,4,60
4/5/2010,2010,4,70
4/6/2010,2010,4,45
4/7/2010,2010,4,55
4/8/2010,2010,4,47
4/9/2010,2010,4,42
4/10/2010,2010,4,43
4/11/2010,2010,4,50
4/12/2010,2010,4,41
4/13/2010,2010,4,41
4/14/2010,2010,4,39
4/15/2010,2010,4,27
4/16/2010,2010,4,37
4/17/2010,2010,4,43
4/18/2010,2010,4,35
4/19/2010,2010,4,49
4/20/2010,2010,4,52
4/21/2010,2010,4,45
4/22/2010,2010,4,44
4/23/2010,2010,4,54
4/24/2010,2010,4,41
4/25/2010,2010,4,46
4/26/2010,2010,4,55
4/27/2010,2010,4,19
4/28/2010,2010,4,29
4/29/2010,2010,4,47
4/30/2010,2010,4,40
5/1/2010,2010,5,50
5/2/2010,2010,5,35
5/3/2010,2010,5,34
5/4/2010,2010,5,36
5/5/2010,2010,5,33
5/6/2010,2010,5,49
5/7/2010,2010,5,38
5/8/2010,2010,5,46
5/9/2010,2010,5,34
5/10/2010,2010,5,42
5/11/2010,2010,5,38
5/12/2010,2010,5,40
5/13/2010,2010,5,42
5/14/2010,2010,5,41
5/15/2010,2010,5,53
5/16/2010,2010,5,32
5/17/2010,2010,5,43
5/18/2010,2010,5,38
5/19/2010,2010,5,32
5/20/2010,2010,5,45
5/21/2010,2010,5,41
5/22/2010,2010,5,45
5/23/2010,2010,5,39
5/24/2010,2010,5,43
5/25/2010,2010,5,55
5/26/2010,2010,5,29
5/27/2010,2010,5,36
5/28/2010,2010,5,36
5/29/2010,2010,5,52
5/30/2010,2010,5,62
5/31/2010,2010,5,42
6/1/2010,2010,6,45
6/2/2010,2010,6,26
6/3/2010,2010,6,27
6/4/2010,2010,6,39
6/5/2010,2010,6,39
6/6/2010,2010,6,34
6/7/2010,2010,6,50
6/8/2010,2010,6,45
6/9/2010,2010,6,46
6/10/2010,2010,6,39
6/11/2010,2010,6,58
6/12/2010,2010,6,43
6/13/2010,2010,6,47
6/14/2010,2010,6,48
6/15/2010,2010,6,40
6/16/2010,2010,6,50
6/17/2010,2010,6,48
6/18/2010,2010,6,35
6/19/2010,2010,6,35
6/20/2010,2010,6,41
6/21/2010,2010,6,51
6/22/2010,2010,6,36
6/23/2010,2010,6,58
6/24/2010,2010,6,52
6/25/2010,2010,6,37
6/26/2010,2010,6,61
6/27/2010,2010,6,52
6/28/2010,2010,6,49
6/29/2010,2010,6,37
6/30/2010,2010,6,39
7/1/2010,2010,7,35
7/2/2010,2010,7,54
7/3/2010,2010,7,48
7/4/2010,2010,7,53
7/5/2010,2010,7,58
7/6/2010,2010,7,57
7/7/2010,2010,7,49
7/8/2010,2010,7,65
7/9/2010,2010,7,55
7/10/2010,2010,7,48
7/11/2010,2010,7,57
7/12/2010,2010,7,55
7/13/2010,2010,7,55
7/14/2010,2010,7,48
7/15/2010,2010,7,49
7/16/2010,2010,7,62
7/17/2010,2010,7,56
7/18/2010,2010,7,53
7/19/2010,2010,7,41
7/20/2010,2010,7,55
7/21/2010,2010,7,52
7/22/2010,2010,7,44
7/23/2010,2010,7,58
7/24/2010,2010,7,42
7/25/2010,2010,7,54
7/26/2010,2010,7,46
7/27/2010,2010,7,29
7/28/2010,2010,7,61
