ds,Year,Month,y
1/1/2010,2010,1,202
1/2/2010,2010,1,198
1/3/2010,2010,1,129
1/4/2010,2010,1,131
1/5/2010,2010,1,144
1/6/2010,2010,1,120
1/7/2010,2010,1,127
1/8/2010,2010,1,138
1/9/2010,2010,1,114
1/10/2010,2010,1,150
1/11/2010,2010,1,121
1/12/2010,2010,1,117
1/13/2010,2010,1,117
1/14/2010,2010,1,151
1/15/2010,2010,1,155
1/16/2010,2010,1,152
1/17/2010,2010,1,183
1/18/2010,2010,1,152
1/19/2010,2010,1,161
1/20/2010,2010,1,138
1/21/2010,2010,1,132
1/22/2010,2010,1,142
1/23/2010,2010,1,120
1/24/2010,2010,1,156
1/25/2010,2010,1,140
1/26/2010,2010,1,130
1/27/2010,2010,1,144
1/28/2010,2010,1,112
1/29/2010,2010,1,148
1/30/2010,2010,1,149
1/31/2010,2010,1,138
2/1/2010,2010,2,158
2/2/2010,2010,2,142
2/3/2010,2010,2,151
2/4/2010,2010,2,122
2/5/2010,2010,2,149
2/6/2010,2010,2,157
2/7/2010,2010,2,158
2/8/2010,2010,2,168
2/9/2010,2010,2,145
2/10/2010,2010,2,128
2/11/2010,2010,2,142
2/12/2010,2010,2,133
2/13/2010,2010,2,172
2/14/2010,2010,2,182
2/15/2010,2010,2,182
2/16/2010,2010,2,166
2/17/2010,2010,2,155
2/18/2010,2010,2,178
2/19/2010,2010,2,161
2/20/2010,2010,2,174
2/21/2010,2010,2,173
2/22/2010,2010,2,152
2/23/2010,2010,2,155
2/24/2010,2010,2,135
2/25/2010,2010,2,144
2/26/2010,2010,2,137
2/27/2010,2010,2,126
2/28/2010,2010,2,140
3/1/2010,2010,3,174
3/2/2010,2010,3,158
3/3/2010,2010,3,135
3/4/2010,2010,3,134
3/5/2010,2010,3,144
3/6/2010,2010,3,170
3/7/2010,2010,3,162
3/8/2010,2010,3,200
3/9/2010,2010,3,161
3/10/2010,2010,3,162
3/11/2010,2010,3,166
3/12/2010,2010,3,165
3/13/2010,2010,3,165
3/14/2010,2010,3,164
3/15/2010,2010,3,168
3/16/2010,2010,3,185
3/17/2010,2010,3,178
3/18/2010,2010,3,156
3/19/2010,2010,3,170
3/20/2010,2010,3,169
3/21/2010,2010,3,176
3/22/2010,2010,3,161
3/23/2010,2010,3,159
3/24/2010,2010,3,168
3/25/2010,2010,3,147
3/26/2010,2010,3,146
3/27/2010,2010,3,149
3/28/2010,2010,3,183
3/29/2010,2010,3,170
3/30/2010,2010,3,163
3/31/2010,2010,3,170
4/1/2010,2010,4,169
4/2/2010,2010,4,184
4/3/2010,2010,4,189
4/4/2010,2010,4,190
4/5/2010,2010,4,196
4/6/2010,2010,4,177
4/7/2010,2010,4,175
4/8/2010,2010,4,180
4/9/2010,2010,4,142
4/10/2010,2010,4,157
4/11/2010,2010,4,158
4/12/2010,2010,4,175
4/13/2010,2010,4,145
4/14/2010,2010,4,149
4/15/2010,2010,4,143
4/16/2010,2010,4,153
4/17/2010,2010,4,162
4/18/2010,2010,4,159
4/19/2010,2010,4,171
4/20/2010,2010,4,179
4/21/2010,2010,4,145
4/22/2010,2010,4,158
4/23/2010,2010,4,175
4/24/2010,2010,4,159
4/25/2010,2010,4,159
4/26/2010,2010,4,168
4/27/2010,2010,4,117
4/28/2010,2010,4,145
4/29/2010,2010,4,149
4/30/2010,2010,4,126
5/1/2010,2010,5,151
5/2/2010,2010,5,134
5/3/2010,2010,5,144
5/4/2010,2010,5,145
5/5/2010,2010,5,126
5/6/2010,2010,5,157
5/7/2010,2010,5,132
5/8/2010,2010,5,166
5/9/2010,2010,5,144
5/10/2010,2010,5,159
5/11/2010,2010,5,155
5/12/2010,2010,5,131
5/13/2010,2010,5,159
5/14/2010,2010,5,140
5/15/2010,2010,5,151
5/16/2010,2010,5,130
5/17/2010,2010,5,148
5/18/2010,2010,5,151
5/19/2010,2010,5,138
5/20/2010,2010,5,176
5/21/2010,2010,5,158
5/22/2010,2010,5,176
5/23/2010,2010,5,151
5/24/2010,2010,5,159
5/25/2010,2010,5,172
5/26/2010,2010,5,148
5/27/2010,2010,5,153
5/28/2010,2010,5,149
5/29/2010,2010,5,184
