ds,y
1/2/2016,1
1/3/2016,1
1/5/2016,2
1/6/2016,2
1/8/2016,3
1/10/2016,3
1/11/2016,3
1/13/2016,2
1/14/2016,2
1/15/2016,5
1/16/2016,5
1/17/2016,1
1/18/2016,2
1/19/2016,2
1/20/2016,1
1/21/2016,9
1/22/2016,3
1/23/2016,6
1/24/2016,6
1/25/2016,4
1/26/2016,5
1/27/2016,9
1/28/2016,11
1/29/2016,4
1/30/2016,7
1/31/2016,11
2/1/2016,10
2/2/2016,12
2/3/2016,12
2/4/2016,7
2/5/2016,7
2/6/2016,12
2/7/2016,9
2/8/2016,11
2/9/2016,10
2/10/2016,11
2/11/2016,20
2/12/2016,17
2/13/2016,31
2/14/2016,39
2/15/2016,34
2/16/2016,28
2/17/2016,48
2/18/2016,31
2/19/2016,32
2/20/2016,30
2/21/2016,36
2/22/2016,42
2/23/2016,31
2/24/2016,35
2/25/2016,20
2/26/2016,29
2/27/2016,26
2/28/2016,22
2/29/2016,39
3/1/2016,48
3/2/2016,35
3/3/2016,34
3/4/2016,30
3/5/2016,33
3/6/2016,38
3/7/2016,34
3/8/2016,34
3/9/2016,32
3/10/2016,30
3/11/2016,27
3/12/2016,33
3/13/2016,27
3/14/2016,31
3/15/2016,35
3/16/2016,32
3/17/2016,18
3/18/2016,22
3/19/2016,23
3/20/2016,21
3/21/2016,19
3/22/2016,9
3/23/2016,13
3/24/2016,20
3/25/2016,22
3/26/2016,18
3/27/2016,14
3/28/2016,23
3/29/2016,15
3/30/2016,21
3/31/2016,9
4/1/2016,8
4/2/2016,16
4/3/2016,16
4/4/2016,5
4/5/2016,8
4/6/2016,10
4/7/2016,12
4/8/2016,12
4/9/2016,7
4/10/2016,14
4/11/2016,2
4/12/2016,13
4/13/2016,10
4/14/2016,11
4/15/2016,4
4/16/2016,12
4/17/2016,12
4/18/2016,5
4/19/2016,3
4/20/2016,11
4/21/2016,11
4/22/2016,6
4/23/2016,4
4/24/2016,6
4/25/2016,9
4/26/2016,4
4/27/2016,7
4/28/2016,3
4/29/2016,4
4/30/2016,3
5/1/2016,3
5/2/2016,4
5/3/2016,1
5/4/2016,4
5/5/2016,3
5/6/2016,2
5/7/2016,2
5/8/2016,1
5/9/2016,4
5/10/2016,6
5/11/2016,1
5/12/2016,1
5/13/2016,2
5/14/2016,3
5/15/2016,2
5/16/2016,2
5/17/2016,1
5/18/2016,1
5/19/2016,3
5/20/2016,4
5/22/2016,1
5/23/2016,1
5/24/2016,3
5/25/2016,1
5/26/2016,3
5/27/2016,1
5/29/2016,1
5/30/2016,2
5/31/2016,4
6/1/2016,1
6/3/2016,2
6/4/2016,3
6/5/2016,2
6/6/2016,1
6/7/2016,4
6/11/2016,3
6/12/2016,1
6/13/2016,1
6/18/2016,1
6/19/2016,2
6/20/2016,1
6/22/2016,2
6/23/2016,1
6/24/2016,2
6/26/2016,1
6/30/2016,2
7/6/2016,1
7/10/2016,2
7/11/2016,1
7/12/2016,2
7/13/2016,1
7/14/2016,1
7/16/2016,3
7/17/2016,5
7/19/2016,1
7/20/2016,2
7/22/2016,1
7/25/2016,1
7/26/2016,1
7/27/2016,3
7/28/2016,2
7/30/2016,3
7/31/2016,1
