Row Labels,Sum of nbr_pos
1/1/2016,2
1/2/2016,5
1/3/2016,2
1/4/2016,6
1/5/2016,9
1/6/2016,4
1/7/2016,3
1/8/2016,5
1/9/2016,5
1/10/2016,9
1/11/2016,12
1/12/2016,6
1/13/2016,5
1/14/2016,23
1/15/2016,4
1/16/2016,4
1/17/2016,7
1/18/2016,3
1/19/2016,5
1/20/2016,7
1/21/2016,16
1/22/2016,11
1/23/2016,15
1/24/2016,13
1/25/2016,13
1/26/2016,17
1/27/2016,22
1/28/2016,24
1/29/2016,22
1/30/2016,22
1/31/2016,18
2/1/2016,32
2/2/2016,19
2/3/2016,30
2/4/2016,34
2/5/2016,25
2/6/2016,29
2/7/2016,27
2/8/2016,30
2/9/2016,42
2/10/2016,36
2/11/2016,35
2/12/2016,27
2/13/2016,49
2/14/2016,44
2/15/2016,66
2/16/2016,47
2/17/2016,59
2/18/2016,54
2/19/2016,66
2/20/2016,66
2/21/2016,59
2/22/2016,49
2/23/2016,51
2/24/2016,49
2/25/2016,64
2/26/2016,64
2/27/2016,64
2/28/2016,60
2/29/2016,62
3/1/2016,62
3/2/2016,42
3/3/2016,48
3/4/2016,44
3/5/2016,47
3/6/2016,69
3/7/2016,40
3/8/2016,48
3/9/2016,48
3/10/2016,48
3/11/2016,31
3/12/2016,31
3/13/2016,25
3/14/2016,38
3/15/2016,32
3/16/2016,33
3/17/2016,48
3/18/2016,23
3/19/2016,31
3/20/2016,26
3/21/2016,30
3/22/2016,21
3/23/2016,20
3/24/2016,21
3/25/2016,16
3/26/2016,23
3/27/2016,14
3/28/2016,25
3/29/2016,24
3/30/2016,24
3/31/2016,12
4/1/2016,29
4/2/2016,16
4/3/2016,17
4/4/2016,19
4/5/2016,19
4/6/2016,13
4/7/2016,13
4/8/2016,27
4/9/2016,14
4/10/2016,13
4/11/2016,18
4/12/2016,23
4/13/2016,16
4/14/2016,12
4/15/2016,7
4/16/2016,9
4/17/2016,14
4/18/2016,11
4/19/2016,9
4/20/2016,9
4/21/2016,12
4/22/2016,8
4/23/2016,12
4/24/2016,5
4/25/2016,12
4/26/2016,12
4/27/2016,7
4/28/2016,9
4/29/2016,9
4/30/2016,4
5/1/2016,10
5/2/2016,2
5/3/2016,5
5/4/2016,5
5/5/2016,5
5/6/2016,3
5/7/2016,1
5/8/2016,5
5/9/2016,1
5/10/2016,3
5/11/2016,9
5/12/2016,4
5/13/2016,3
5/14/2016,3
5/15/2016,9
5/16/2016,1
5/18/2016,4
5/19/2016,1
5/20/2016,5
5/21/2016,2
5/22/2016,8
5/23/2016,3
5/24/2016,1
5/25/2016,3
5/26/2016,2
5/27/2016,2
5/28/2016,4
5/29/2016,2
5/30/2016,4
5/31/2016,4
6/1/2016,5
6/2/2016,1
6/3/2016,3
6/5/2016,1
6/7/2016,3
6/9/2016,1
6/10/2016,2
6/11/2016,1
6/12/2016,1
6/13/2016,1
6/14/2016,1
6/15/2016,2
6/16/2016,1
6/17/2016,3
6/19/2016,1
6/21/2016,3
6/23/2016,2
6/25/2016,2
6/26/2016,2
6/29/2016,2
7/2/2016,1
7/3/2016,1
7/4/2016,1
7/7/2016,2
7/8/2016,3
7/15/2016,1
7/16/2016,2
7/17/2016,1
7/18/2016,2
7/25/2016,1
8/1/2016,1
8/5/2016,1
8/6/2016,3
8/7/2016,3
8/8/2016,2
8/12/2016,1
8/14/2016,1
8/25/2016,2
8/30/2016,2
8/31/2016,2
9/2/2016,3
9/4/2016,2
9/7/2016,1
9/9/2016,3
9/12/2016,2
9/13/2016,2
9/14/2016,1
9/15/2016,5
9/18/2016,1
9/19/2016,3
9/21/2016,4
9/22/2016,2
9/25/2016,3
9/26/2016,1
9/28/2016,2
9/29/2016,1
9/30/2016,3
10/1/2016,2
10/2/2016,2
10/3/2016,3
10/5/2016,2
10/6/2016,1
10/7/2016,3
10/8/2016,2
10/9/2016,4
10/10/2016,2
10/11/2016,1
10/12/2016,5
10/13/2016,5
10/15/2016,1
10/16/2016,1
10/17/2016,2
10/18/2016,6
10/19/2016,4
10/20/2016,1
10/21/2016,4
10/23/2016,2
10/25/2016,4
10/26/2016,2
10/27/2016,2
10/30/2016,1
10/31/2016,3
11/1/2016,5
11/2/2016,2
11/3/2016,2
11/4/2016,3
