ds,y
1/6/2016,1
1/29/2016,1
2/4/2016,1
2/8/2016,1
2/10/2016,1
2/12/2016,1
2/14/2016,1
2/19/2016,3
2/22/2016,1
2/28/2016,1
3/2/2016,1
3/4/2016,1
3/11/2016,1
3/13/2016,1
3/14/2016,1
3/30/2016,1
4/16/2016,1
4/29/2016,1
5/29/2016,1
6/6/2016,3
6/7/2016,3
6/8/2016,1
6/9/2016,2
6/10/2016,4
6/11/2016,6
6/12/2016,1
6/13/2016,2
6/14/2016,2
6/15/2016,3
6/16/2016,1
6/17/2016,3
6/18/2016,2
6/19/2016,1
6/20/2016,1
6/21/2016,3
6/23/2016,3
6/24/2016,2
6/25/2016,5
6/26/2016,3
6/27/2016,1
6/28/2016,5
6/29/2016,3
7/2/2016,1
7/3/2016,1
7/4/2016,2
7/7/2016,2
7/8/2016,3
7/15/2016,3
7/16/2016,2
7/17/2016,1
7/18/2016,3
7/19/2016,1
7/25/2016,1
7/27/2016,1
7/31/2016,1
8/1/2016,1
8/2/2016,1
8/4/2016,1
8/5/2016,1
8/6/2016,3
8/7/2016,3
8/8/2016,2
8/10/2016,1
8/12/2016,1
8/14/2016,1
8/18/2016,2
8/21/2016,3
8/22/2016,3
8/23/2016,1
8/25/2016,6
8/26/2016,3
8/27/2016,1
8/28/2016,1
8/30/2016,2
8/31/2016,2
9/2/2016,3
9/4/2016,4
9/7/2016,1
9/8/2016,4
9/9/2016,3
9/11/2016,1
9/12/2016,2
9/13/2016,4
9/14/2016,2
9/15/2016,5
9/16/2016,2
9/18/2016,1
9/19/2016,3
9/21/2016,4
9/22/2016,6
9/23/2016,2
9/24/2016,3
9/25/2016,4
9/26/2016,1
9/27/2016,1
9/28/2016,2
9/29/2016,2
9/30/2016,4
10/1/2016,2
10/2/2016,4
10/3/2016,4
10/5/2016,2
10/6/2016,1
10/7/2016,3
10/8/2016,2
10/9/2016,4
10/10/2016,2
10/11/2016,2
10/12/2016,5
10/13/2016,7
10/14/2016,1
10/15/2016,1
10/16/2016,4
10/17/2016,2
10/18/2016,6
10/19/2016,5
10/20/2016,1
10/21/2016,4
10/23/2016,2
10/25/2016,6
10/26/2016,2
10/27/2016,2
10/28/2016,2
10/30/2016,3
10/31/2016,3
11/1/2016,6
11/2/2016,3
11/3/2016,2
11/4/2016,3
11/5/2016,5
11/6/2016,8
11/7/2016,3
11/8/2016,3
11/9/2016,1
11/10/2016,6
11/11/2016,4
11/12/2016,1
11/13/2016,9
11/14/2016,2
11/15/2016,4
11/16/2016,1
11/17/2016,5
11/18/2016,1
11/19/2016,1
11/20/2016,4
11/21/2016,1
11/22/2016,3
11/23/2016,5
11/24/2016,7
11/25/2016,6
11/26/2016,7
11/27/2016,11
11/28/2016,9
11/29/2016,7
11/30/2016,15
12/1/2016,10
12/2/2016,4
12/3/2016,6
12/4/2016,14
12/5/2016,8
12/6/2016,7
12/7/2016,8
12/8/2016,10
12/9/2016,11
12/10/2016,3
12/11/2016,16
12/12/2016,11
12/13/2016,14
12/14/2016,12
12/15/2016,18
12/16/2016,21
12/17/2016,20
12/18/2016,24
12/19/2016,17
12/20/2016,18
12/21/2016,20
12/22/2016,29
12/23/2016,11
12/24/2016,19
12/25/2016,18
12/26/2016,34
12/27/2016,32
12/28/2016,25
12/29/2016,25
12/30/2016,24
12/31/2016,28
1/1/2017,32
1/2/2017,40
1/3/2017,38
1/4/2017,44
1/5/2017,40
1/6/2017,40
1/7/2017,38
1/8/2017,19
1/9/2017,34
1/10/2017,29
1/11/2017,35
1/12/2017,38
1/13/2017,28
1/14/2017,37
1/15/2017,50
1/16/2017,38
1/17/2017,46
1/18/2017,45
1/19/2017,61
1/20/2017,35
1/21/2017,55
1/22/2017,46
1/23/2017,42
1/24/2017,41
1/25/2017,45
1/26/2017,43
1/27/2017,41
1/28/2017,40
1/29/2017,37
1/30/2017,36
1/31/2017,67
2/1/2017,57
2/2/2017,88
2/3/2017,56
2/4/2017,66
2/5/2017,45
2/6/2017,80
2/7/2017,75
2/8/2017,64
2/9/2017,83
2/10/2017,50
2/11/2017,73
2/12/2017,60
2/13/2017,89
2/14/2017,86
2/15/2017,71
2/16/2017,62
2/17/2017,90
2/18/2017,47
2/19/2017,70
2/20/2017,60
2/21/2017,75
2/22/2017,69
2/23/2017,59
2/24/2017,53
2/25/2017,65
2/26/2017,56
2/27/2017,60
2/28/2017,52
3/1/2017,54
3/2/2017,42
3/3/2017,34
3/4/2017,29
3/5/2017,41
3/6/2017,34
3/7/2017,57
3/8/2017,49
3/9/2017,30
3/10/2017,24
3/11/2017,41
3/12/2017,27
3/13/2017,40
3/14/2017,42
3/15/2017,17
3/16/2017,19
3/17/2017,30
3/18/2017,25
3/19/2017,30
3/20/2017,29
3/21/2017,37
3/22/2017,38
3/23/2017,36
3/24/2017,30
3/25/2017,18
3/26/2017,39
3/27/2017,38
3/28/2017,35
3/29/2017,16
3/30/2017,31
3/31/2017,33
4/1/2017,29
4/2/2017,30
4/3/2017,21
4/4/2017,22
4/5/2017,25
4/6/2017,19
4/7/2017,13
4/8/2017,7
4/9/2017,30
4/10/2017,12
4/11/2017,18
4/12/2017,18
4/13/2017,14
4/14/2017,27
4/15/2017,21
4/16/2017,20
4/17/2017,16
4/18/2017,17
4/19/2017,27
4/20/2017,16
4/21/2017,16
4/22/2017,18
4/23/2017,23
4/24/2017,11
4/25/2017,19
4/26/2017,21
4/27/2017,20
4/28/2017,10
4/29/2017,6
4/30/2017,15
5/1/2017,17
5/2/2017,14
5/3/2017,14
5/4/2017,9
5/5/2017,4
5/6/2017,10
5/7/2017,7
5/8/2017,12
5/9/2017,12
5/10/2017,7
5/11/2017,6
5/12/2017,4
5/13/2017,6
5/14/2017,11
5/15/2017,10
5/16/2017,5
5/17/2017,3
5/18/2017,8
5/19/2017,6
5/20/2017,6
5/21/2017,3
5/22/2017,5
5/23/2017,7
5/24/2017,3
5/25/2017,4
5/26/2017,2
5/28/2017,4
5/29/2017,5
5/30/2017,6
5/31/2017,3
6/1/2017,5
6/2/2017,2
6/3/2017,4
6/4/2017,1
6/5/2017,3
6/6/2017,2
6/7/2017,1
6/8/2017,3
6/9/2017,4
6/10/2017,1
6/11/2017,2
6/12/2017,4
6/13/2017,5
6/14/2017,1
6/15/2017,4
6/16/2017,3
6/17/2017,7
6/18/2017,2
6/19/2017,2
6/20/2017,2
6/21/2017,5
6/22/2017,6
6/23/2017,3
6/24/2017,1
6/25/2017,3
6/26/2017,4
6/27/2017,1
6/28/2017,4
6/29/2017,2
6/30/2017,1
7/2/2017,3
7/4/2017,6
7/5/2017,1
7/6/2017,2
7/7/2017,1
7/8/2017,2
7/10/2017,2
7/11/2017,2
7/12/2017,1
7/13/2017,4
7/14/2017,3
7/15/2017,2
7/16/2017,3
7/18/2017,5
7/19/2017,3
7/20/2017,1
7/21/2017,4
7/22/2017,3
7/23/2017,3
7/24/2017,2
7/26/2017,2
7/27/2017,5
7/28/2017,1
7/29/2017,1
7/30/2017,2
7/31/2017,2
8/1/2017,5
8/2/2017,4
8/3/2017,4
8/4/2017,1
8/5/2017,4
8/6/2017,5
8/7/2017,3
8/8/2017,6
8/9/2017,1
8/10/2017,4
8/11/2017,1
8/12/2017,3
8/13/2017,2
8/14/2017,2
8/15/2017,2
8/16/2017,2
8/17/2017,2
8/18/2017,2
8/19/2017,1
8/20/2017,1
8/21/2017,2
8/22/2017,3
8/23/2017,5
8/24/2017,3
8/25/2017,5
8/26/2017,2
8/27/2017,2
8/28/2017,1
8/29/2017,2
8/30/2017,3
8/31/2017,7
9/1/2017,3
9/2/2017,3
9/3/2017,2
9/4/2017,2
9/5/2017,1
9/6/2017,3
9/7/2017,2
9/8/2017,1
9/10/2017,1
9/11/2017,6
9/12/2017,9
9/13/2017,5
9/14/2017,1
9/15/2017,2
9/16/2017,6
9/17/2017,4
9/18/2017,2
9/19/2017,4
9/20/2017,4
9/21/2017,10
9/22/2017,11
9/23/2017,2
9/24/2017,6
9/25/2017,6
9/26/2017,4
9/27/2017,3
9/28/2017,5
9/29/2017,3
9/30/2017,3
10/1/2017,5
10/2/2017,3
10/3/2017,3
10/4/2017,3
10/5/2017,2
10/6/2017,3
10/7/2017,4
10/8/2017,4
10/9/2017,6
10/10/2017,1
10/11/2017,4
10/12/2017,4
10/13/2017,2
10/14/2017,7
10/15/2017,5
10/16/2017,2
10/17/2017,5
10/18/2017,4
10/19/2017,7
10/20/2017,1
10/21/2017,4
10/22/2017,4
10/23/2017,6
10/24/2017,5
10/25/2017,5
10/26/2017,4
10/27/2017,2
10/28/2017,7
10/29/2017,14
10/30/2017,16
10/31/2017,18
11/1/2017,10
11/2/2017,9
