ds,y
1/1/2016,0
1/2/2016,0
1/3/2016,0
1/4/2016,0
1/5/2016,1
1/6/2016,1
1/7/2016,0
1/8/2016,0
1/9/2016,0
1/10/2016,0
1/11/2016,0
1/12/2016,0
1/13/2016,0
1/14/2016,0
1/15/2016,0
1/16/2016,0
1/17/2016,0
1/18/2016,0
1/19/2016,0
1/20/2016,1
1/21/2016,0
1/22/2016,0
1/23/2016,0
1/24/2016,1
1/25/2016,0
1/26/2016,0
1/27/2016,1
1/28/2016,0
1/29/2016,2
1/30/2016,0
1/31/2016,3
2/1/2016,2
2/2/2016,2
2/3/2016,0
2/4/2016,0
2/5/2016,1
2/6/2016,0
2/7/2016,1
2/8/2016,2
2/9/2016,2
2/10/2016,5
2/11/2016,2
2/12/2016,2
2/13/2016,0
2/14/2016,2
2/15/2016,2
2/16/2016,1
2/17/2016,1
2/18/2016,1
2/19/2016,3
2/20/2016,2
2/21/2016,3
2/22/2016,1
2/23/2016,2
2/24/2016,3
2/25/2016,1
2/26/2016,1
2/27/2016,3
2/28/2016,3
2/29/2016,0
3/1/2016,3
3/2/2016,0
3/3/2016,1
3/4/2016,1
3/5/2016,4
3/6/2016,5
3/7/2016,5
3/8/2016,3
3/9/2016,6
3/10/2016,6
3/11/2016,5
3/12/2016,1
3/13/2016,3
3/14/2016,2
3/15/2016,0
3/16/2016,4
3/17/2016,2
3/18/2016,2
3/19/2016,1
3/20/2016,3
3/21/2016,5
3/22/2016,1
3/23/2016,3
3/24/2016,2
3/25/2016,2
3/26/2016,1
3/27/2016,0
3/28/2016,3
3/29/2016,0
3/30/2016,4
3/31/2016,2
4/1/2016,0
4/2/2016,1
4/3/2016,2
4/4/2016,3
4/5/2016,2
4/6/2016,2
4/7/2016,1
4/8/2016,0
4/9/2016,2
4/10/2016,0
4/11/2016,0
4/12/2016,0
4/13/2016,2
4/14/2016,1
4/15/2016,1
4/16/2016,2
4/17/2016,3
4/18/2016,1
4/19/2016,0
4/20/2016,1
4/21/2016,4
4/22/2016,0
4/23/2016,2
4/24/2016,3
4/25/2016,1
4/26/2016,3
4/27/2016,0
4/28/2016,0
4/29/2016,0
4/30/2016,1
5/1/2016,0
5/2/2016,1
5/3/2016,0
5/4/2016,0
5/5/2016,1
5/6/2016,0
5/7/2016,0
5/8/2016,0
5/9/2016,0
5/10/2016,0
5/11/2016,0
5/12/2016,0
5/13/2016,0
5/14/2016,0
5/15/2016,1
5/16/2016,0
5/17/2016,0
5/18/2016,0
5/19/2016,0
5/20/2016,0
5/21/2016,0
5/22/2016,0
5/23/2016,0
5/24/2016,0
5/25/2016,0
5/26/2016,0
5/27/2016,0
5/28/2016,0
5/29/2016,0
5/30/2016,0
5/31/2016,0
6/1/2016,0
6/2/2016,0
6/3/2016,0
6/4/2016,0
6/5/2016,0
6/6/2016,0
6/7/2016,0
6/8/2016,0
6/9/2016,0
6/10/2016,0
6/11/2016,0
6/12/2016,0
6/13/2016,0
6/14/2016,0
6/15/2016,0
6/16/2016,0
6/17/2016,0
6/18/2016,0
6/19/2016,0
6/20/2016,0
6/21/2016,0
6/22/2016,0
6/23/2016,0
6/24/2016,0
6/25/2016,0
6/26/2016,0
6/27/2016,0
6/28/2016,0
6/29/2016,0
6/30/2016,0
7/1/2016,0
7/2/2016,0
7/3/2016,0
7/4/2016,0
7/5/2016,0
7/6/2016,0
7/7/2016,0
7/8/2016,0
7/9/2016,0
7/10/2016,0
7/11/2016,0
7/12/2016,0
7/13/2016,0
7/14/2016,0
7/15/2016,0
7/16/2016,0
7/17/2016,0
7/18/2016,0
7/19/2016,0
7/20/2016,0
7/21/2016,0
7/22/2016,0
7/23/2016,0
7/24/2016,0
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016,0
7/29/2016,0
7/30/2016,0
7/31/2016,0
8/1/2016,0
8/2/2016,0
8/3/2016,0
8/4/2016,0
8/5/2016,0
8/6/2016,0
8/7/2016,0
8/8/2016,0
8/9/2016,0
8/10/2016,0
8/11/2016,0
8/12/2016,0
8/13/2016,0
8/14/2016,0
8/15/2016,0
8/16/2016,0
8/17/2016,0
8/18/2016,0
8/19/2016,0
8/20/2016,0
8/21/2016,0
8/22/2016,0
8/23/2016,0
8/24/2016,0
8/25/2016,0
8/26/2016,0
8/27/2016,0
8/28/2016,0
8/29/2016,0
8/30/2016,0
8/31/2016,0
9/1/2016,0
9/2/2016,0
9/3/2016,0
9/4/2016,0
9/5/2016,0
9/6/2016,0
9/7/2016,0
9/8/2016,0
9/9/2016,0
9/10/2016,0
9/11/2016,0
9/12/2016,0
9/13/2016,0
9/14/2016,0
9/15/2016,0
9/16/2016,0
9/17/2016,0
9/18/2016,0
9/19/2016,0
9/20/2016,0
9/21/2016,0
9/22/2016,0
9/23/2016,0
9/24/2016,0
9/25/2016,0
9/26/2016,0
9/27/2016,0
9/28/2016,0
9/29/2016,0
9/30/2016,0
10/1/2016,0
10/2/2016,0
10/3/2016,0
10/4/2016,1
10/5/2016,0
10/6/2016,0
10/7/2016,0
10/8/2016,0
10/9/2016,0
10/10/2016,0
10/11/2016,0
10/12/2016,0
10/13/2016,0
10/14/2016,0
10/15/2016,0
10/16/2016,0
10/17/2016,0
10/18/2016,0
10/19/2016,0
10/20/2016,1
10/21/2016,0
10/22/2016,0
10/23/2016,0
10/24/2016,0
10/25/2016,1
10/26/2016,0
10/27/2016,0
10/28/2016,0
10/29/2016,0
10/30/2016,0
10/31/2016,0
11/1/2016,0
11/2/2016,0
11/3/2016,0
11/4/2016,0
11/5/2016,0
11/6/2016,0
11/7/2016,0
11/8/2016,0
11/9/2016,0
11/10/2016,0
11/11/2016,0
11/12/2016,0
11/13/2016,0
11/14/2016,0
11/15/2016,0
11/16/2016,0
11/17/2016,0
11/18/2016,0
11/19/2016,0
11/20/2016,0
11/21/2016,0
11/22/2016,0
11/23/2016,0
11/24/2016,0
11/25/2016,0
11/26/2016,0
11/27/2016,0
11/28/2016,0
11/29/2016,0
11/30/2016,0
12/1/2016,0
12/2/2016,0
12/3/2016,0
12/4/2016,0
12/5/2016,0
12/6/2016,0
12/7/2016,1
12/8/2016,0
12/9/2016,0
12/10/2016,0
12/11/2016,1
12/12/2016,0
12/13/2016,0
12/14/2016,0
12/15/2016,0
12/16/2016,0
12/17/2016,1
12/18/2016,1
12/19/2016,2
12/20/2016,0
12/21/2016,0
12/22/2016,0
12/23/2016,0
12/24/2016,1
12/25/2016,0
12/26/2016,0
12/27/2016,0
12/28/2016,3
12/29/2016,1
12/30/2016,2
12/31/2016,0
1/1/2017,0
1/2/2017,3
1/3/2017,3
1/4/2017,4
1/5/2017,2
1/6/2017,6
1/7/2017,0
1/8/2017,3
1/9/2017,2
1/10/2017,7
1/11/2017,3
1/12/2017,4
1/13/2017,3
1/14/2017,3
1/15/2017,6
1/16/2017,5
1/17/2017,1
1/18/2017,5
1/19/2017,2
1/20/2017,6
1/21/2017,6
1/22/2017,2
1/23/2017,4
1/24/2017,6
1/25/2017,3
1/26/2017,4
1/27/2017,2
1/28/2017,3
1/29/2017,5
1/30/2017,8
1/31/2017,8
2/1/2017,9
2/2/2017,7
2/3/2017,9
2/4/2017,6
2/5/2017,7
2/6/2017,13
2/7/2017,17
2/8/2017,15
2/9/2017,12
2/10/2017,8
2/11/2017,10
2/12/2017,9
2/13/2017,13
2/14/2017,13
2/15/2017,13
2/16/2017,15
2/17/2017,11
2/18/2017,9
2/19/2017,14
2/20/2017,8
2/21/2017,9
2/22/2017,13
2/23/2017,8
2/24/2017,5
2/25/2017,2
2/26/2017,7
2/27/2017,3
2/28/2017,5
3/1/2017,4
3/2/2017,6
3/3/2017,7
3/4/2017,0
3/5/2017,4
3/6/2017,2
3/7/2017,3
3/8/2017,2
3/9/2017,1
3/10/2017,6
3/11/2017,0
3/12/2017,3
3/13/2017,1
3/14/2017,1
3/15/2017,6
3/16/2017,1
3/17/2017,2
3/18/2017,5
3/19/2017,2
3/20/2017,2
3/21/2017,2
3/22/2017,2
3/23/2017,4
3/24/2017,2
3/25/2017,1
3/26/2017,4
3/27/2017,2
3/28/2017,1
3/29/2017,2
3/30/2017,6
3/31/2017,3
4/1/2017,1
4/2/2017,1
4/3/2017,3
4/4/2017,0
4/5/2017,0
4/6/2017,2
4/7/2017,1
4/8/2017,1
4/9/2017,0
4/10/2017,1
4/11/2017,0
4/12/2017,2
4/13/2017,2
4/14/2017,0
4/15/2017,1
4/16/2017,0
4/17/2017,1
4/18/2017,0
4/19/2017,1
4/20/2017,1
4/21/2017,0
4/22/2017,0
4/23/2017,0
4/24/2017,1
4/25/2017,0
4/26/2017,0
4/27/2017,0
4/28/2017,1
4/29/2017,0
4/30/2017,0
5/1/2017,0
5/2/2017,0
5/3/2017,0
5/4/2017,0
5/5/2017,0
5/6/2017,0
5/7/2017,0
5/8/2017,0
5/9/2017,0
5/10/2017,0
5/11/2017,0
5/12/2017,0
5/13/2017,0
5/14/2017,0
5/15/2017,0
5/16/2017,0
5/17/2017,0
5/18/2017,1
5/19/2017,0
5/20/2017,0
5/21/2017,0
5/22/2017,0
5/23/2017,0
5/24/2017,0
5/25/2017,0
5/26/2017,0
5/27/2017,0
5/28/2017,0
5/29/2017,1
5/30/2017,0
5/31/2017,0
6/1/2017,0
6/2/2017,0
6/3/2017,0
6/4/2017,0
6/5/2017,0
6/6/2017,0
6/7/2017,0
6/8/2017,0
6/9/2017,0
6/10/2017,0
6/11/2017,0
6/12/2017,0
6/13/2017,0
6/14/2017,0
6/15/2017,0
6/16/2017,0
6/17/2017,0
6/18/2017,0
6/19/2017,0
6/20/2017,0
6/21/2017,0
6/22/2017,0
6/23/2017,0
6/24/2017,0
6/25/2017,0
6/26/2017,0
6/27/2017,0
6/28/2017,0
6/29/2017,0
6/30/2017,0
7/1/2017,0
7/2/2017,1
7/3/2017,0
7/4/2017,0
7/5/2017,0
7/6/2017,0
7/7/2017,0
7/8/2017,0
7/9/2017,0
7/10/2017,0
7/11/2017,0
7/12/2017,0
7/13/2017,0
7/14/2017,0
7/15/2017,0
7/16/2017,0
7/17/2017,0
7/18/2017,0
7/19/2017,0
7/20/2017,0
7/21/2017,0
7/22/2017,0
7/23/2017,0
7/24/2017,0
7/25/2017,0
7/26/2017,0
7/27/2017,0
7/28/2017,0
7/29/2017,0
7/30/2017,0
7/31/2017,0
8/1/2017,1
8/2/2017,0
8/3/2017,0
8/4/2017,0
8/5/2017,0
8/6/2017,0
8/7/2017,0
8/8/2017,0
8/9/2017,0
8/10/2017,0
8/11/2017,0
8/12/2017,0
8/13/2017,0
8/14/2017,0
8/15/2017,0
8/16/2017,0
8/17/2017,0
8/18/2017,0
8/19/2017,0
8/20/2017,0
8/21/2017,0
8/22/2017,0
8/23/2017,0
8/24/2017,0
8/25/2017,0
8/26/2017,0
8/27/2017,0
8/28/2017,0
8/29/2017,0
8/30/2017,0
8/31/2017,0
9/1/2017,0
9/2/2017,0
9/3/2017,0
9/4/2017,1
9/5/2017,0
9/6/2017,0
9/7/2017,0
9/8/2017,0
9/9/2017,0
9/10/2017,0
9/11/2017,0
9/12/2017,0
9/13/2017,0
9/14/2017,0
9/15/2017,0
9/16/2017,0
9/17/2017,0
9/18/2017,0
9/19/2017,0
9/20/2017,0
9/21/2017,0
9/22/2017,0
9/23/2017,0
9/24/2017,0
9/25/2017,0
9/26/2017,0
9/27/2017,0
9/28/2017,0
9/29/2017,0
9/30/2017,0
10/1/2017,0
10/2/2017,0
10/3/2017,0
10/4/2017,0
10/5/2017,0
10/6/2017,0
10/7/2017,0
10/8/2017,0
10/9/2017,0
10/10/2017,0
10/11/2017,0
10/12/2017,0
10/13/2017,0
10/14/2017,0
10/15/2017,1
10/16/2017,0
10/17/2017,0
10/18/2017,0
10/19/2017,0
10/20/2017,1
10/21/2017,0
10/22/2017,0
10/23/2017,0
10/24/2017,0
10/25/2017,0
10/26/2017,0
10/27/2017,1
10/28/2017,0
10/29/2017,0
10/30/2017,0
10/31/2017,0
11/1/2017,0
11/2/2017,0
11/3/2017,0
11/4/2017,2
11/5/2017,0
11/6/2017,0
11/7/2017,0
11/8/2017,0
11/9/2017,0
11/10/2017,0
11/11/2017,0
11/12/2017,1
11/13/2017,1
11/14/2017,2
11/15/2017,0
11/16/2017,0
11/17/2017,0
11/18/2017,1
11/19/2017,0
11/20/2017,2
11/21/2017,0
11/22/2017,1
11/23/2017,2
11/24/2017,3
11/25/2017,2
11/26/2017,3
11/27/2017,1
11/28/2017,3
11/29/2017,1
11/30/2017,0
12/1/2017,1
12/2/2017,0
12/3/2017,1
12/4/2017,1
12/5/2017,1
12/6/2017,1
12/7/2017,2
12/8/2017,0
12/9/2017,0
12/10/2017,3
12/11/2017,0
12/12/2017,0
12/13/2017,0
12/14/2017,0
12/15/2017,2
12/16/2017,1
12/17/2017,1
12/18/2017,1
12/19/2017,4
12/20/2017,4
12/21/2017,5
12/22/2017,2
12/23/2017,5
12/24/2017,5
12/25/2017,6
12/26/2017,2
12/27/2017,2
12/28/2017,5
12/29/2017,11
12/30/2017,5
12/31/2017,8
1/1/2018,14
1/2/2018,6
1/3/2018,10
1/4/2018,7
1/5/2018,5
1/6/2018,6
1/7/2018,7
1/8/2018,13
1/9/2018,7
1/10/2018,12
1/11/2018,4
1/12/2018,12
1/13/2018,15
1/14/2018,4
1/15/2018,11
1/16/2018,7
1/17/2018,11
1/18/2018,10
1/19/2018,7
1/20/2018,9
1/21/2018,3
1/22/2018,8
1/23/2018,5
1/24/2018,9
1/25/2018,5
1/26/2018,12
1/27/2018,6
1/28/2018,7
1/29/2018,5
1/30/2018,6
1/31/2018,7
2/1/2018,8
2/2/2018,8
2/3/2018,9
2/4/2018,9
2/5/2018,9
2/6/2018,10
2/7/2018,10
2/8/2018,6
2/9/2018,8
2/10/2018,10
2/11/2018,11
2/12/2018,14
2/13/2018,5
2/14/2018,9
2/15/2018,11
2/16/2018,14
2/17/2018,6
2/18/2018,8
2/19/2018,9
2/20/2018,7
2/21/2018,12
2/22/2018,10
2/23/2018,8
2/24/2018,4
2/25/2018,1
2/26/2018,8
2/27/2018,6
2/28/2018,4
3/1/2018,2
3/2/2018,6
3/3/2018,3
3/4/2018,6
3/5/2018,2
3/6/2018,4
3/7/2018,6
3/8/2018,4
3/9/2018,2
3/10/2018,4
3/11/2018,6
3/12/2018,3
3/13/2018,3
3/14/2018,4
3/15/2018,4
3/16/2018,2
3/17/2018,2
3/18/2018,0
3/19/2018,2
3/20/2018,2
3/21/2018,2
3/22/2018,3
3/23/2018,3
3/24/2018,1
3/25/2018,5
3/26/2018,2
3/27/2018,1
3/28/2018,1
3/29/2018,0
3/30/2018,1
3/31/2018,1
4/1/2018,0
4/2/2018,0
4/3/2018,0
4/4/2018,1
4/5/2018,0
4/6/2018,0
4/7/2018,0
4/8/2018,0
4/9/2018,1
4/10/2018,1
4/11/2018,1
4/12/2018,0
4/13/2018,0
4/14/2018,0
4/15/2018,0
4/16/2018,0
4/17/2018,0
4/18/2018,1
4/19/2018,0
4/20/2018,0
4/21/2018,1
4/22/2018,1
4/23/2018,0
4/24/2018,1
4/25/2018,1
4/26/2018,0
4/27/2018,0
4/28/2018,0
4/29/2018,0
4/30/2018,0
5/1/2018,1
5/2/2018,0
5/3/2018,0
5/4/2018,0
5/5/2018,0
5/6/2018,0
5/7/2018,0
5/8/2018,1
5/9/2018,0
5/10/2018,0
5/11/2018,0
5/12/2018,0
5/13/2018,0
5/14/2018,0
5/15/2018,0
5/16/2018,1
5/17/2018,0
5/18/2018,0
5/19/2018,0
5/20/2018,0
5/21/2018,0
5/22/2018,0
5/23/2018,0
5/24/2018,0
5/25/2018,1
5/26/2018,0
5/27/2018,0
5/28/2018,0
5/29/2018,0
5/30/2018,0
5/31/2018,1
6/1/2018,0
6/2/2018,0
6/3/2018,0
6/4/2018,0
6/5/2018,0
6/6/2018,0
6/7/2018,0
6/8/2018,0
6/9/2018,0
6/10/2018,0
6/11/2018,0
6/12/2018,0
6/13/2018,0
6/14/2018,0
6/15/2018,0
6/16/2018,0
6/17/2018,0
6/18/2018,1
6/19/2018,0
6/20/2018,0
6/21/2018,0
6/22/2018,0
6/23/2018,0
6/24/2018,0
6/25/2018,1
6/26/2018,0
6/27/2018,0
6/28/2018,0
6/29/2018,0
6/30/2018,0
7/1/2018,0
7/2/2018,0
7/3/2018,0
7/4/2018,0
7/5/2018,0
7/6/2018,0
7/7/2018,0
7/8/2018,0
7/9/2018,0
7/10/2018,0
7/11/2018,0
7/12/2018,0
7/13/2018,0
7/14/2018,0
7/15/2018,0
7/16/2018,0
7/17/2018,0
7/18/2018,0
7/19/2018,0
7/20/2018,0
7/21/2018,0
7/22/2018,0
7/23/2018,0
7/24/2018,0
7/25/2018,0
7/26/2018,0
7/27/2018,0
7/28/2018,0
7/29/2018,0
7/30/2018,0
7/31/2018,0
8/1/2018,0
8/2/2018,0
8/3/2018,0
8/4/2018,0
8/5/2018,0
8/6/2018,0
8/7/2018,0
8/8/2018,0
8/9/2018,0
8/10/2018,0
8/11/2018,0
8/12/2018,0
8/13/2018,0
8/14/2018,0
8/15/2018,0
8/16/2018,0
8/17/2018,0
8/18/2018,0
8/19/2018,0
8/20/2018,0
8/21/2018,0
8/22/2018,0
8/23/2018,0
8/24/2018,0
8/25/2018,0
8/26/2018,0
8/27/2018,0
8/28/2018,0
8/29/2018,0
8/30/2018,0
8/31/2018,0
9/1/2018,0
9/2/2018,0
9/3/2018,0
9/4/2018,0
9/5/2018,0
9/6/2018,0
9/7/2018,0
9/8/2018,0
9/9/2018,0
9/10/2018,0
9/11/2018,0
9/12/2018,0
9/13/2018,0
9/14/2018,0
9/15/2018,0
9/16/2018,0
9/17/2018,0
9/18/2018,0
9/19/2018,0
9/20/2018,0
9/21/2018,0
9/22/2018,0
9/23/2018,0
9/24/2018,0
9/25/2018,0
9/26/2018,0
9/27/2018,0
9/28/2018,0
9/29/2018,0
9/30/2018,0
10/1/2018,0
10/2/2018,0
10/3/2018,0
10/4/2018,0
10/5/2018,0
10/6/2018,0
10/7/2018,0
10/8/2018,0
10/9/2018,0
10/10/2018,0
10/11/2018,0
10/12/2018,0
10/13/2018,0
10/14/2018,0
10/15/2018,0
10/16/2018,0
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0
10/21/2018,0
10/22/2018,0
10/23/2018,0
10/24/2018,0
10/25/2018,0
10/26/2018,1
10/27/2018,0
10/28/2018,0
10/29/2018,0
10/30/2018,0
10/31/2018,0
11/1/2018,0
11/2/2018,0
11/3/2018,1
11/4/2018,0
11/5/2018,0
11/6/2018,0
11/7/2018,0
11/8/2018,0
11/9/2018,0
11/10/2018,0
11/11/2018,0
11/12/2018,0
11/13/2018,0
11/14/2018,1
11/15/2018,0
11/16/2018,0
11/17/2018,0
11/18/2018,1
11/19/2018,2
11/20/2018,1
11/21/2018,0
11/22/2018,1
11/23/2018,1
11/24/2018,5
11/25/2018,0
11/26/2018,1
11/27/2018,1
11/28/2018,1
11/29/2018,1
11/30/2018,0
12/1/2018,0
12/2/2018,0
12/3/2018,0
12/4/2018,1
12/5/2018,0
12/6/2018,1
12/7/2018,0
12/8/2018,1
12/9/2018,1
12/10/2018,2
12/11/2018,0
12/12/2018,1
12/13/2018,2
12/14/2018,0
12/15/2018,1
12/16/2018,3
12/17/2018,0
12/18/2018,2
12/19/2018,1
12/20/2018,0
12/21/2018,1
12/22/2018,1
12/23/2018,4
12/24/2018,2
12/25/2018,2
12/26/2018,0
12/27/2018,1
12/28/2018,3
12/29/2018,2
12/30/2018,3
12/31/2018,4
1/1/2019,2
1/2/2019,1
1/3/2019,2
1/4/2019,2
1/5/2019,2
1/6/2019,1
1/7/2019,3
1/8/2019,1
1/9/2019,3
1/10/2019,4
1/11/2019,4
1/12/2019,1
1/13/2019,2
1/14/2019,0
1/15/2019,2
1/16/2019,2
1/17/2019,1
1/18/2019,2
1/19/2019,1
1/20/2019,2
1/21/2019,0
1/22/2019,0
1/23/2019,5
1/24/2019,4
1/25/2019,4
1/26/2019,2
1/27/2019,2
1/28/2019,7
1/29/2019,3
1/30/2019,3
1/31/2019,0
2/1/2019,4
2/2/2019,2
2/3/2019,3
2/4/2019,4
2/5/2019,1
2/6/2019,2
2/7/2019,1
2/8/2019,0
2/9/2019,0
2/10/2019,4
2/11/2019,5
2/12/2019,3
2/13/2019,2
2/14/2019,4
2/15/2019,3
2/16/2019,1
2/17/2019,2
2/18/2019,8
2/19/2019,4
2/20/2019,4
2/21/2019,4
2/22/2019,1
2/23/2019,3
2/24/2019,2
2/25/2019,3
2/26/2019,5
2/27/2019,6
2/28/2019,7
3/1/2019,8
3/2/2019,6
3/3/2019,5
3/4/2019,3
3/5/2019,2
3/6/2019,4
3/7/2019,3
3/8/2019,3
3/9/2019,13
3/10/2019,5
3/11/2019,6
3/12/2019,8
3/13/2019,5
3/14/2019,8
3/15/2019,5
3/16/2019,5
3/17/2019,2
3/18/2019,3
3/19/2019,10
3/20/2019,3
3/21/2019,2
