ds,y
1/1/2016,0
1/2/2016,1
1/3/2016,2
1/4/2016,1
1/5/2016,0
1/6/2016,1
1/7/2016,1
1/8/2016,3
1/9/2016,0
1/10/2016,1
1/11/2016,1
1/12/2016,1
1/13/2016,1
1/14/2016,3
1/15/2016,5
1/16/2016,1
1/17/2016,3
1/18/2016,2
1/19/2016,2
1/20/2016,0
1/21/2016,4
1/22/2016,4
1/23/2016,1
1/24/2016,7
1/25/2016,1
1/26/2016,3
1/27/2016,1
1/28/2016,5
1/29/2016,5
1/30/2016,3
1/31/2016,5
2/1/2016,8
2/2/2016,5
2/3/2016,4
2/4/2016,10
2/5/2016,9
2/6/2016,9
2/7/2016,5
2/8/2016,9
2/9/2016,10
2/10/2016,10
2/11/2016,3
2/12/2016,2
2/13/2016,10
2/14/2016,9
2/15/2016,5
2/16/2016,12
2/17/2016,17
2/18/2016,10
2/19/2016,7
2/20/2016,14
2/21/2016,19
2/22/2016,20
2/23/2016,16
2/24/2016,22
2/25/2016,20
2/26/2016,17
2/27/2016,18
2/28/2016,23
2/29/2016,23
3/1/2016,25
3/2/2016,16
3/3/2016,17
3/4/2016,8
3/5/2016,8
3/6/2016,21
3/7/2016,16
3/8/2016,15
3/9/2016,27
3/10/2016,12
3/11/2016,12
3/12/2016,17
3/13/2016,16
3/14/2016,9
3/15/2016,13
3/16/2016,9
3/17/2016,10
3/18/2016,6
3/19/2016,7
3/20/2016,5
3/21/2016,7
3/22/2016,9
3/23/2016,6
3/24/2016,8
3/25/2016,6
3/26/2016,7
3/27/2016,16
3/28/2016,5
3/29/2016,3
3/30/2016,3
3/31/2016,7
4/1/2016,3
4/2/2016,6
4/3/2016,4
4/4/2016,3
4/5/2016,2
4/6/2016,4
4/7/2016,5
4/8/2016,9
4/9/2016,0
4/10/2016,1
4/11/2016,4
4/12/2016,3
4/13/2016,5
4/14/2016,4
4/15/2016,2
4/16/2016,3
4/17/2016,4
4/18/2016,1
4/19/2016,2
4/20/2016,3
4/21/2016,0
4/22/2016,2
4/23/2016,3
4/24/2016,4
4/25/2016,1
4/26/2016,3
4/27/2016,0
4/28/2016,2
4/29/2016,1
4/30/2016,3
5/1/2016,2
5/2/2016,0
5/3/2016,0
5/4/2016,2
5/5/2016,1
5/6/2016,0
5/7/2016,0
5/8/2016,3
5/9/2016,0
5/10/2016,0
5/11/2016,1
5/12/2016,0
5/13/2016,1
5/14/2016,2
5/15/2016,1
5/16/2016,1
5/17/2016,4
5/18/2016,0
5/19/2016,2
5/20/2016,0
5/21/2016,0
5/22/2016,0
5/23/2016,0
5/24/2016,0
5/25/2016,0
5/26/2016,0
5/27/2016,0
5/28/2016,0
5/29/2016,0
5/30/2016,1
5/31/2016,0
6/1/2016,0
6/2/2016,0
6/3/2016,1
6/4/2016,0
6/5/2016,2
6/6/2016,0
6/7/2016,0
6/8/2016,0
6/9/2016,0
6/10/2016,1
6/11/2016,0
6/12/2016,0
6/13/2016,0
6/14/2016,0
6/15/2016,0
6/16/2016,0
6/17/2016,0
6/18/2016,0
6/19/2016,1
6/20/2016,0
6/21/2016,0
6/22/2016,0
6/23/2016,0
6/24/2016,0
6/25/2016,0
6/26/2016,1
6/27/2016,0
6/28/2016,0
6/29/2016,0
6/30/2016,0
7/1/2016,0
7/2/2016,0
7/3/2016,0
7/4/2016,0
7/5/2016,0
7/6/2016,0
7/7/2016,0
7/8/2016,0
7/9/2016,0
7/10/2016,0
7/11/2016,0
7/12/2016,0
7/13/2016,1
7/14/2016,0
7/15/2016,0
7/16/2016,0
7/17/2016,0
7/18/2016,0
7/19/2016,0
7/20/2016,0
7/21/2016,0
7/22/2016,0
7/23/2016,0
7/24/2016,0
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016,0
7/29/2016,0
7/30/2016,0
7/31/2016,0
8/1/2016,0
8/2/2016,0
8/3/2016,0
8/4/2016,0
8/5/2016,0
8/6/2016,0
8/7/2016,0
8/8/2016,0
8/9/2016,0
8/10/2016,0
8/11/2016,0
8/12/2016,0
8/13/2016,0
8/14/2016,0
8/15/2016,0
8/16/2016,0
8/17/2016,1
8/18/2016,0
8/19/2016,0
8/20/2016,0
8/21/2016,0
8/22/2016,0
8/23/2016,0
8/24/2016,0
8/25/2016,0
8/26/2016,0
8/27/2016,1
8/28/2016,0
8/29/2016,0
8/30/2016,0
8/31/2016,0
9/1/2016,0
9/2/2016,0
9/3/2016,0
9/4/2016,0
9/5/2016,0
9/6/2016,0
9/7/2016,0
9/8/2016,0
9/9/2016,0
9/10/2016,0
9/11/2016,1
9/12/2016,0
9/13/2016,0
9/14/2016,0
9/15/2016,0
9/16/2016,0
9/17/2016,0
9/18/2016,0
9/19/2016,0
9/20/2016,0
9/21/2016,1
9/22/2016,0
9/23/2016,0
9/24/2016,1
9/25/2016,0
9/26/2016,1
9/27/2016,0
9/28/2016,1
9/29/2016,0
9/30/2016,0
10/1/2016,0
10/2/2016,0
10/3/2016,0
10/4/2016,0
10/5/2016,0
10/6/2016,0
10/7/2016,0
10/8/2016,1
10/9/2016,0
10/10/2016,0
10/11/2016,0
10/12/2016,0
10/13/2016,0
10/14/2016,1
10/15/2016,1
10/16/2016,1
10/17/2016,0
10/18/2016,0
10/19/2016,0
10/20/2016,0
10/21/2016,0
10/22/2016,0
10/23/2016,1
10/24/2016,0
10/25/2016,1
10/26/2016,0
10/27/2016,0
10/28/2016,1
10/29/2016,0
10/30/2016,0
10/31/2016,2
11/1/2016,2
11/2/2016,0
11/3/2016,0
11/4/2016,0
11/5/2016,0
11/6/2016,0
11/7/2016,0
11/8/2016,1
11/9/2016,0
11/10/2016,1
11/11/2016,0
11/12/2016,0
11/13/2016,0
11/14/2016,0
11/15/2016,0
11/16/2016,0
11/17/2016,0
11/18/2016,0
11/19/2016,0
11/20/2016,1
11/21/2016,1
11/22/2016,0
11/23/2016,0
11/24/2016,0
11/25/2016,0
11/26/2016,0
11/27/2016,0
11/28/2016,0
11/29/2016,1
11/30/2016,1
12/1/2016,0
12/2/2016,1
12/3/2016,0
12/4/2016,2
12/5/2016,1
12/6/2016,1
12/7/2016,3
12/8/2016,0
12/9/2016,0
12/10/2016,1
12/11/2016,2
12/12/2016,3
12/13/2016,1
12/14/2016,5
12/15/2016,1
12/16/2016,3
12/17/2016,1
12/18/2016,1
12/19/2016,2
12/20/2016,0
12/21/2016,3
12/22/2016,4
12/23/2016,0
12/24/2016,3
12/25/2016,3
12/26/2016,5
12/27/2016,6
12/28/2016,4
12/29/2016,8
12/30/2016,7
12/31/2016,4
1/1/2017,5
1/2/2017,5
1/3/2017,6
1/4/2017,8
1/5/2017,5
1/6/2017,3
1/7/2017,7
1/8/2017,5
1/9/2017,5
1/10/2017,6
1/11/2017,9
1/12/2017,5
1/13/2017,4
1/14/2017,4
1/15/2017,3
1/16/2017,2
1/17/2017,8
1/18/2017,11
1/19/2017,13
1/20/2017,8
1/21/2017,4
1/22/2017,14
1/23/2017,10
1/24/2017,11
1/25/2017,7
1/26/2017,9
1/27/2017,15
1/28/2017,13
1/29/2017,14
1/30/2017,16
1/31/2017,16
2/1/2017,16
2/2/2017,13
2/3/2017,17
2/4/2017,12
2/5/2017,16
2/6/2017,23
2/7/2017,39
2/8/2017,19
2/9/2017,27
2/10/2017,16
2/11/2017,37
2/12/2017,32
2/13/2017,33
2/14/2017,36
2/15/2017,22
2/16/2017,27
2/17/2017,40
2/18/2017,20
2/19/2017,56
2/20/2017,38
2/21/2017,37
2/22/2017,36
2/23/2017,20
2/24/2017,25
2/25/2017,18
2/26/2017,28
2/27/2017,24
2/28/2017,15
3/1/2017,19
3/2/2017,16
3/3/2017,13
3/4/2017,15
3/5/2017,19
3/6/2017,21
3/7/2017,20
3/8/2017,17
3/9/2017,11
3/10/2017,18
3/11/2017,18
3/12/2017,18
3/13/2017,8
3/14/2017,7
3/15/2017,13
3/16/2017,12
3/17/2017,9
3/18/2017,11
3/19/2017,20
3/20/2017,20
3/21/2017,18
3/22/2017,26
3/23/2017,22
3/24/2017,23
3/25/2017,21
