ds,Year,Month,y
1/1/2010,2010,1,186
1/2/2010,2010,1,190
1/3/2010,2010,1,174
1/4/2010,2010,1,205
1/5/2010,2010,1,194
1/6/2010,2010,1,164
1/7/2010,2010,1,159
1/8/2010,2010,1,195
1/9/2010,2010,1,138
1/10/2010,2010,1,165
1/11/2010,2010,1,193
1/12/2010,2010,1,181
1/13/2010,2010,1,181
1/14/2010,2010,1,185
1/15/2010,2010,1,215
1/16/2010,2010,1,170
1/17/2010,2010,1,187
1/18/2010,2010,1,204
1/19/2010,2010,1,190
1/20/2010,2010,1,188
1/21/2010,2010,1,195
1/22/2010,2010,1,184
1/23/2010,2010,1,187
1/24/2010,2010,1,195
1/25/2010,2010,1,227
1/26/2010,2010,1,191
1/27/2010,2010,1,170
1/28/2010,2010,1,201
1/29/2010,2010,1,180
1/30/2010,2010,1,151
1/31/2010,2010,1,175
2/1/2010,2010,2,182
2/2/2010,2010,2,197
2/3/2010,2010,2,197
2/4/2010,2010,2,178
2/5/2010,2010,2,184
2/6/2010,2010,2,193
2/7/2010,2010,2,162
2/8/2010,2010,2,220
2/9/2010,2010,2,215
2/10/2010,2010,2,173
2/11/2010,2010,2,197
2/12/2010,2010,2,213
2/13/2010,2010,2,156
2/14/2010,2010,2,157
2/15/2010,2010,2,222
2/16/2010,2010,2,210
2/17/2010,2010,2,236
2/18/2010,2010,2,210
2/19/2010,2010,2,210
2/20/2010,2010,2,201
2/21/2010,2010,2,179
2/22/2010,2010,2,274
2/23/2010,2010,2,241
2/24/2010,2010,2,209
2/25/2010,2010,2,211
2/26/2010,2010,2,223
2/27/2010,2010,2,164
2/28/2010,2010,2,216
3/1/2010,2010,3,243
3/2/2010,2010,3,210
3/3/2010,2010,3,197
3/4/2010,2010,3,231
3/5/2010,2010,3,211
3/6/2010,2010,3,179
3/7/2010,2010,3,177
3/8/2010,2010,3,261
3/9/2010,2010,3,231
3/10/2010,2010,3,258
3/11/2010,2010,3,224
3/12/2010,2010,3,202
3/13/2010,2010,3,204
3/14/2010,2010,3,195
3/15/2010,2010,3,267
3/16/2010,2010,3,226
3/17/2010,2010,3,234
3/18/2010,2010,3,237
3/19/2010,2010,3,236
3/20/2010,2010,3,190
3/21/2010,2010,3,181
3/22/2010,2010,3,259
3/23/2010,2010,3,231
3/24/2010,2010,3,203
3/25/2010,2010,3,226
3/26/2010,2010,3,227
3/27/2010,2010,3,192
3/28/2010,2010,3,211
3/29/2010,2010,3,235
3/30/2010,2010,3,226
3/31/2010,2010,3,207
4/1/2010,2010,4,213
4/2/2010,2010,4,210
4/3/2010,2010,4,185
4/4/2010,2010,4,207
4/5/2010,2010,4,238
4/6/2010,2010,4,242
4/7/2010,2010,4,206
4/8/2010,2010,4,224
4/9/2010,2010,4,219
4/10/2010,2010,4,220
4/11/2010,2010,4,216
4/12/2010,2010,4,268
4/13/2010,2010,4,212
4/14/2010,2010,4,224
4/15/2010,2010,4,201
4/16/2010,2010,4,224
4/17/2010,2010,4,203
4/18/2010,2010,4,185
4/19/2010,2010,4,248
4/20/2010,2010,4,254
4/21/2010,2010,4,218
4/22/2010,2010,4,198
4/23/2010,2010,4,244
4/24/2010,2010,4,215
4/25/2010,2010,4,166
4/26/2010,2010,4,251
4/27/2010,2010,4,195
4/28/2010,2010,4,220
4/29/2010,2010,4,210
4/30/2010,2010,4,206
5/1/2010,2010,5,177
5/2/2010,2010,5,189
5/3/2010,2010,5,238
5/4/2010,2010,5,221
5/5/2010,2010,5,216
5/6/2010,2010,5,213
5/7/2010,2010,5,201
5/8/2010,2010,5,204
5/9/2010,2010,5,189
5/10/2010,2010,5,232
5/11/2010,2010,5,211
5/12/2010,2010,5,243
5/13/2010,2010,5,237
5/14/2010,2010,5,225
5/15/2010,2010,5,186
5/16/2010,2010,5,186
5/17/2010,2010,5,267
5/18/2010,2010,5,230
5/19/2010,2010,5,229
5/20/2010,2010,5,220
5/21/2010,2010,5,253
5/22/2010,2010,5,182
5/23/2010,2010,5,205
5/24/2010,2010,5,259
5/25/2010,2010,5,235
5/26/2010,2010,5,221
5/27/2010,2010,5,232
5/28/2010,2010,5,195
5/29/2010,2010,5,175
5/30/2010,2010,5,184
5/31/2010,2010,5,181
6/1/2010,2010,6,254
6/2/2010,2010,6,209
6/3/2010,2010,6,198
6/4/2010,2010,6,208
6/5/2010,2010,6,219
6/6/2010,2010,6,201
6/7/2010,2010,6,232
6/8/2010,2010,6,250
6/9/2010,2010,6,200
6/10/2010,2010,6,204
6/11/2010,2010,6,235
6/12/2010,2010,6,198
6/13/2010,2010,6,187
6/14/2010,2010,6,235
6/15/2010,2010,6,199
6/16/2010,2010,6,194
6/17/2010,2010,6,230
6/18/2010,2010,6,206
6/19/2010,2010,6,215
6/20/2010,2010,6,213
6/21/2010,2010,6,240
6/22/2010,2010,6,221
6/23/2010,2010,6,233
6/24/2010,2010,6,199
6/25/2010,2010,6,216
6/26/2010,2010,6,185
6/27/2010,2010,6,198
6/28/2010,2010,6,221
6/29/2010,2010,6,228
6/30/2010,2010,6,199
7/1/2010,2010,7,187
7/2/2010,2010,7,185
7/3/2010,2010,7,213
7/4/2010,2010,7,190
7/5/2010,2010,7,227
7/6/2010,2010,7,214
7/7/2010,2010,7,216
7/8/2010,2010,7,221
7/9/2010,2010,7,201
7/10/2010,2010,7,194
7/11/2010,2010,7,196
7/12/2010,2010,7,230
7/13/2010,2010,7,224
7/14/2010,2010,7,214
7/15/2010,2010,7,225
7/16/2010,2010,7,218
7/17/2010,2010,7,202
7/18/2010,2010,7,227
7/19/2010,2010,7,234
7/20/2010,2010,7,215
7/21/2010,2010,7,208
7/22/2010,2010,7,205
7/23/2010,2010,7,205
7/24/2010,2010,7,197
7/25/2010,2010,7,190
7/26/2010,2010,7,220
7/27/2010,2010,7,207
7/28/2010,2010,7,198
7/29/2010,2010,7,192
7/30/2010,2010,7,196
7/31/2010,2010,7,199
8/1/2010,2010,8,171
8/2/2010,2010,8,227
8/3/2010,2010,8,191
8/4/2010,2010,8,213
8/5/2010,2010,8,211
8/6/2010,2010,8,202
8/7/2010,2010,8,203
8/8/2010,2010,8,180
8/9/2010,2010,8,215
8/10/2010,2010,8,215
8/11/2010,2010,8,203
8/12/2010,2010,8,197
8/13/2010,2010,8,211
8/14/2010,2010,8,169
8/15/2010,2010,8,183
8/16/2010,2010,8,241
8/17/2010,2010,8,194
8/18/2010,2010,8,214
8/19/2010,2010,8,169
8/20/2010,2010,8,204
8/21/2010,2010,8,162
8/22/2010,2010,8,186
8/23/2010,2010,8,238
8/24/2010,2010,8,205
8/25/2010,2010,8,219
8/26/2010,2010,8,215
8/27/2010,2010,8,206
8/28/2010,2010,8,151
8/29/2010,2010,8,220
8/30/2010,2010,8,234
8/31/2010,2010,8,218
9/1/2010,2010,9,220
9/2/2010,2010,9,196
9/3/2010,2010,9,196
9/4/2010,2010,9,191
9/5/2010,2010,9,210
9/6/2010,2010,9,193
9/7/2010,2010,9,240
9/8/2010,2010,9,234
9/9/2010,2010,9,238
9/10/2010,2010,9,242
9/11/2010,2010,9,208
9/12/2010,2010,9,208
9/13/2010,2010,9,261
9/14/2010,2010,9,218
9/15/2010,2010,9,219
9/16/2010,2010,9,226
9/17/2010,2010,9,219
9/18/2010,2010,9,195
9/19/2010,2010,9,181
9/20/2010,2010,9,231
9/21/2010,2010,9,262
9/22/2010,2010,9,222
9/23/2010,2010,9,230
9/24/2010,2010,9,208
9/25/2010,2010,9,211
9/26/2010,2010,9,221
9/27/2010,2010,9,227
9/28/2010,2010,9,219
9/29/2010,2010,9,219
9/30/2010,2010,9,248
10/1/2010,2010,10,201
10/2/2010,2010,10,198
10/3/2010,2010,10,187
10/4/2010,2010,10,236
10/5/2010,2010,10,188
10/6/2010,2010,10,199
10/7/2010,2010,10,223
10/8/2010,2010,10,202
10/9/2010,2010,10,205
10/10/2010,2010,10,232
10/11/2010,2010,10,258
10/12/2010,2010,10,227
10/13/2010,2010,10,245
10/14/2010,2010,10,207
10/15/2010,2010,10,176
10/16/2010,2010,10,178
10/17/2010,2010,10,166
10/18/2010,2010,10,241
10/19/2010,2010,10,228
10/20/2010,2010,10,248
10/21/2010,2010,10,226
10/22/2010,2010,10,216
10/23/2010,2010,10,201
10/24/2010,2010,10,194
10/25/2010,2010,10,270
10/26/2010,2010,10,258
10/27/2010,2010,10,223
10/28/2010,2010,10,222
10/29/2010,2010,10,192
10/30/2010,2010,10,206
10/31/2010,2010,10,172
11/1/2010,2010,11,246
11/2/2010,2010,11,238
11/3/2010,2010,11,225
11/4/2010,2010,11,207
11/5/2010,2010,11,196
11/6/2010,2010,11,170
11/7/2010,2010,11,174
11/8/2010,2010,11,212
11/9/2010,2010,11,217
11/10/2010,2010,11,192
11/11/2010,2010,11,215
11/12/2010,2010,11,224
11/13/2010,2010,11,202
11/14/2010,2010,11,179
11/15/2010,2010,11,246
11/16/2010,2010,11,240
11/17/2010,2010,11,248
11/18/2010,2010,11,214
11/19/2010,2010,11,189
11/20/2010,2010,11,217
11/21/2010,2010,11,210
11/22/2010,2010,11,213
11/23/2010,2010,11,219
11/24/2010,2010,11,205
11/25/2010,2010,11,142
11/26/2010,2010,11,214
11/27/2010,2010,11,201
11/28/2010,2010,11,194
11/29/2010,2010,11,239
11/30/2010,2010,11,256
12/1/2010,2010,12,224
12/2/2010,2010,12,199
12/3/2010,2010,12,212
12/4/2010,2010,12,189
12/5/2010,2010,12,192
12/6/2010,2010,12,207
12/7/2010,2010,12,185
12/8/2010,2010,12,190
12/9/2010,2010,12,209
12/10/2010,2010,12,207
12/11/2010,2010,12,207
12/12/2010,2010,12,190
12/13/2010,2010,12,217
12/14/2010,2010,12,196
12/15/2010,2010,12,212
12/16/2010,2010,12,217
12/17/2010,2010,12,219
12/18/2010,2010,12,225
12/19/2010,2010,12,197
12/20/2010,2010,12,254
12/21/2010,2010,12,253
12/22/2010,2010,12,226
12/23/2010,2010,12,205
12/24/2010,2010,12,176
12/25/2010,2010,12,171
12/26/2010,2010,12,202
12/27/2010,2010,12,258
12/28/2010,2010,12,233
12/29/2010,2010,12,250
12/30/2010,2010,12,225
12/31/2010,2010,12,201
1/1/2011,2011,1,281
1/2/2011,2011,1,259
1/3/2011,2011,1,273
1/4/2011,2011,1,272
1/5/2011,2011,1,288
1/6/2011,2011,1,225
1/7/2011,2011,1,247
1/8/2011,2011,1,202
1/9/2011,2011,1,232
1/10/2011,2011,1,258
1/11/2011,2011,1,255
1/12/2011,2011,1,220
1/13/2011,2011,1,229
1/14/2011,2011,1,219
1/15/2011,2011,1,240
1/16/2011,2011,1,220
1/17/2011,2011,1,251
1/18/2011,2011,1,265
1/19/2011,2011,1,284
1/20/2011,2011,1,273
1/21/2011,2011,1,253
1/22/2011,2011,1,222
1/23/2011,2011,1,210
1/24/2011,2011,1,273
1/25/2011,2011,1,247
1/26/2011,2011,1,254
1/27/2011,2011,1,243
1/28/2011,2011,1,256
1/29/2011,2011,1,204
1/30/2011,2011,1,246
1/31/2011,2011,1,255
2/1/2011,2011,2,243
2/2/2011,2011,2,235
2/3/2011,2011,2,245
2/4/2011,2011,2,268
2/5/2011,2011,2,230
2/6/2011,2011,2,222
2/7/2011,2011,2,269
2/8/2011,2011,2,242
2/9/2011,2011,2,237
2/10/2011,2011,2,233
2/11/2011,2011,2,240
2/12/2011,2011,2,205
2/13/2011,2011,2,218
2/14/2011,2011,2,253
2/15/2011,2011,2,241
2/16/2011,2011,2,246
2/17/2011,2011,2,263
2/18/2011,2011,2,227
2/19/2011,2011,2,227
2/20/2011,2011,2,219
2/21/2011,2011,2,272
2/22/2011,2011,2,290
2/23/2011,2011,2,242
2/24/2011,2011,2,223
2/25/2011,2011,2,260
2/26/2011,2011,2,242
2/27/2011,2011,2,216
2/28/2011,2011,2,279
3/1/2011,2011,3,257
3/2/2011,2011,3,258
3/3/2011,2011,3,256
3/4/2011,2011,3,252
3/5/2011,2011,3,196
3/6/2011,2011,3,258
3/7/2011,2011,3,276
3/8/2011,2011,3,268
3/9/2011,2011,3,236
3/10/2011,2011,3,228
3/11/2011,2011,3,235
3/12/2011,2011,3,239
3/13/2011,2011,3,221
3/14/2011,2011,3,290
3/15/2011,2011,3,292
3/16/2011,2011,3,282
3/17/2011,2011,3,238
3/18/2011,2011,3,235
3/19/2011,2011,3,249
3/20/2011,2011,3,233
3/21/2011,2011,3,299
3/22/2011,2011,3,270
3/23/2011,2011,3,250
3/24/2011,2011,3,275
3/25/2011,2011,3,253
3/26/2011,2011,3,213
3/27/2011,2011,3,243
3/28/2011,2011,3,243
3/29/2011,2011,3,248
3/30/2011,2011,3,246
3/31/2011,2011,3,179
4/1/2011,2011,4,205
4/2/2011,2011,4,201
4/3/2011,2011,4,236
4/4/2011,2011,4,265
4/5/2011,2011,4,264
4/6/2011,2011,4,252
4/7/2011,2011,4,264
4/8/2011,2011,4,243
4/9/2011,2011,4,226
4/10/2011,2011,4,263
4/11/2011,2011,4,280
4/12/2011,2011,4,251
4/13/2011,2011,4,257
4/14/2011,2011,4,257
4/15/2011,2011,4,258
4/16/2011,2011,4,228
4/17/2011,2011,4,205
4/18/2011,2011,4,266
4/19/2011,2011,4,221
4/20/2011,2011,4,227
4/21/2011,2011,4,241
4/22/2011,2011,4,232
4/23/2011,2011,4,192
4/24/2011,2011,4,198
4/25/2011,2011,4,263
4/26/2011,2011,4,278
4/27/2011,2011,4,280
4/28/2011,2011,4,249
4/29/2011,2011,4,240
4/30/2011,2011,4,210
5/1/2011,2011,5,216
5/2/2011,2011,5,273
5/3/2011,2011,5,251
5/4/2011,2011,5,230
5/5/2011,2011,5,232
5/6/2011,2011,5,238
5/7/2011,2011,5,205
5/8/2011,2011,5,183
5/9/2011,2011,5,249
5/10/2011,2011,5,249
5/11/2011,2011,5,251
5/12/2011,2011,5,240
5/13/2011,2011,5,236
5/14/2011,2011,5,251
5/15/2011,2011,5,196
5/16/2011,2011,5,280
5/17/2011,2011,5,277
5/18/2011,2011,5,259
5/19/2011,2011,5,235
5/20/2011,2011,5,228
5/21/2011,2011,5,213
5/22/2011,2011,5,204
5/23/2011,2011,5,269
5/24/2011,2011,5,254
5/25/2011,2011,5,247
5/26/2011,2011,5,266
5/27/2011,2011,5,214
5/28/2011,2011,5,198
5/29/2011,2011,5,235
5/30/2011,2011,5,206
5/31/2011,2011,5,258
6/1/2011,2011,6,206
6/2/2011,2011,6,228
6/3/2011,2011,6,224
6/4/2011,2011,6,231
6/5/2011,2011,6,208
6/6/2011,2011,6,233
6/7/2011,2011,6,253
6/8/2011,2011,6,222
6/9/2011,2011,6,229
6/10/2011,2011,6,267
6/11/2011,2011,6,192
6/12/2011,2011,6,208
6/13/2011,2011,6,266
6/14/2011,2011,6,234
6/15/2011,2011,6,187
6/16/2011,2011,6,253
6/17/2011,2011,6,205
6/18/2011,2011,6,206
6/19/2011,2011,6,174
6/20/2011,2011,6,267
6/21/2011,2011,6,257
6/22/2011,2011,6,234
6/23/2011,2011,6,222
6/24/2011,2011,6,218
6/25/2011,2011,6,215
6/26/2011,2011,6,210
6/27/2011,2011,6,253
6/28/2011,2011,6,235
6/29/2011,2011,6,201
6/30/2011,2011,6,195
7/1/2011,2011,7,209
7/2/2011,2011,7,205
7/3/2011,2011,7,194
7/4/2011,2011,7,224
7/5/2011,2011,7,251
7/6/2011,2011,7,245
7/7/2011,2011,7,211
7/8/2011,2011,7,209
7/9/2011,2011,7,231
7/10/2011,2011,7,217
7/11/2011,2011,7,258
7/12/2011,2011,7,220
7/13/2011,2011,7,245
7/14/2011,2011,7,213
7/15/2011,2011,7,247
7/16/2011,2011,7,230
7/17/2011,2011,7,222
7/18/2011,2011,7,249
7/19/2011,2011,7,262
7/20/2011,2011,7,237
7/21/2011,2011,7,247
7/22/2011,2011,7,238
7/23/2011,2011,7,230
7/24/2011,2011,7,203
7/25/2011,2011,7,254
7/26/2011,2011,7,248
7/27/2011,2011,7,257
7/28/2011,2011,7,230
7/29/2011,2011,7,244
7/30/2011,2011,7,217
7/31/2011,2011,7,189
8/1/2011,2011,8,243
8/2/2011,2011,8,245
8/3/2011,2011,8,245
8/4/2011,2011,8,240
8/5/2011,2011,8,244
8/6/2011,2011,8,224
8/7/2011,2011,8,216
8/8/2011,2011,8,261
8/9/2011,2011,8,248
8/10/2011,2011,8,234
8/11/2011,2011,8,226
8/12/2011,2011,8,245
8/13/2011,2011,8,200
8/14/2011,2011,8,162
8/15/2011,2011,8,242
8/16/2011,2011,8,239
8/17/2011,2011,8,265
8/18/2011,2011,8,221
8/19/2011,2011,8,219
8/20/2011,2011,8,219
8/21/2011,2011,8,210
8/22/2011,2011,8,258
8/23/2011,2011,8,203
8/24/2011,2011,8,237
8/25/2011,2011,8,203
8/26/2011,2011,8,252
8/27/2011,2011,8,227
8/28/2011,2011,8,235
8/29/2011,2011,8,269
8/30/2011,2011,8,237
8/31/2011,2011,8,248
9/1/2011,2011,9,250
9/2/2011,2011,9,251
9/3/2011,2011,9,223
9/4/2011,2011,9,242
9/5/2011,2011,9,233
9/6/2011,2011,9,247
9/7/2011,2011,9,225
9/8/2011,2011,9,261
9/9/2011,2011,9,239
9/10/2011,2011,9,223
9/11/2011,2011,9,223
9/12/2011,2011,9,257
9/13/2011,2011,9,258
9/14/2011,2011,9,275
9/15/2011,2011,9,254
9/16/2011,2011,9,264
