ds,y
1/1/2016,6
1/2/2016,1
1/3/2016,4
1/4/2016,1
1/5/2016,1
1/6/2016,0
1/7/2016,0
1/8/2016,1
1/9/2016,3
1/10/2016,2
1/11/2016,0
1/12/2016,0
1/13/2016,3
1/14/2016,2
1/15/2016,2
1/16/2016,1
1/17/2016,1
1/18/2016,1
1/19/2016,1
1/20/2016,0
1/21/2016,2
1/22/2016,5
1/23/2016,0
1/24/2016,3
1/25/2016,1
1/26/2016,1
1/27/2016,0
1/28/2016,0
1/29/2016,1
1/30/2016,0
1/31/2016,1
2/1/2016,0
2/2/2016,0
2/3/2016,1
2/4/2016,1
2/5/2016,1
2/6/2016,2
2/7/2016,2
2/8/2016,4
2/9/2016,3
2/10/2016,3
2/11/2016,2
2/12/2016,0
2/13/2016,0
2/14/2016,4
2/15/2016,1
2/16/2016,3
2/17/2016,2
2/18/2016,2
2/19/2016,2
2/20/2016,3
2/21/2016,4
2/22/2016,3
2/23/2016,8
2/24/2016,7
2/25/2016,8
2/26/2016,7
2/27/2016,9
2/28/2016,8
2/29/2016,7
3/1/2016,10
3/2/2016,9
3/3/2016,6
3/4/2016,6
3/5/2016,7
3/6/2016,20
3/7/2016,17
3/8/2016,16
3/9/2016,9
3/10/2016,10
3/11/2016,4
3/12/2016,13
3/13/2016,9
3/14/2016,16
3/15/2016,11
3/16/2016,5
3/17/2016,4
3/18/2016,5
3/19/2016,5
3/20/2016,9
3/21/2016,12
3/22/2016,6
3/23/2016,8
3/24/2016,11
3/25/2016,11
3/26/2016,19
3/27/2016,9
3/28/2016,3
3/29/2016,7
3/30/2016,4
3/31/2016,8
4/1/2016,1
4/2/2016,5
4/3/2016,5
4/4/2016,8
4/5/2016,5
4/6/2016,1
4/7/2016,5
4/8/2016,4
4/9/2016,6
4/10/2016,2
4/11/2016,6
4/12/2016,3
4/13/2016,4
4/14/2016,4
4/15/2016,5
4/16/2016,3
4/17/2016,6
4/18/2016,3
4/19/2016,1
4/20/2016,1
4/21/2016,2
4/22/2016,1
4/23/2016,1
4/24/2016,2
4/25/2016,0
4/26/2016,6
4/27/2016,0
4/28/2016,7
4/29/2016,0
4/30/2016,2
5/1/2016,2
5/2/2016,2
5/3/2016,1
5/4/2016,2
5/5/2016,5
5/6/2016,0
5/7/2016,3
5/8/2016,4
5/9/2016,3
5/10/2016,2
5/11/2016,0
5/12/2016,0
5/13/2016,0
5/14/2016,1
5/15/2016,0
5/16/2016,1
5/17/2016,3
5/18/2016,1
5/19/2016,3
5/20/2016,0
5/21/2016,3
5/22/2016,0
5/23/2016,1
5/24/2016,3
5/25/2016,0
5/26/2016,0
5/27/2016,1
5/28/2016,1
5/29/2016,0
5/30/2016,1
5/31/2016,0
6/1/2016,1
6/2/2016,0
6/3/2016,0
6/4/2016,2
6/5/2016,0
6/6/2016,0
6/7/2016,1
6/8/2016,0
6/9/2016,0
6/10/2016,1
6/11/2016,0
6/12/2016,0
6/13/2016,0
6/14/2016,2
6/15/2016,1
6/16/2016,2
6/17/2016,2
6/18/2016,0
6/19/2016,2
6/20/2016,0
6/21/2016,2
6/22/2016,2
6/23/2016,0
6/24/2016,2
6/25/2016,0
6/26/2016,0
6/27/2016,1
6/28/2016,0
6/29/2016,0
6/30/2016,1
7/1/2016,0
7/2/2016,0
7/3/2016,1
7/4/2016,1
7/5/2016,0
7/6/2016,0
7/7/2016,0
7/8/2016,0
7/9/2016,1
7/10/2016,0
7/11/2016,0
7/12/2016,1
7/13/2016,0
7/14/2016,0
7/15/2016,0
7/16/2016,0
7/17/2016,3
7/18/2016,1
7/19/2016,1
7/20/2016,1
7/21/2016,1
7/22/2016,0
7/23/2016,2
7/24/2016,0
7/25/2016,0
7/26/2016,0
7/27/2016,0
7/28/2016,0
7/29/2016,0
7/30/2016,0
7/31/2016,0
8/1/2016,0
8/2/2016,0
8/3/2016,0
8/4/2016,2
8/5/2016,0
8/6/2016,1
8/7/2016,2
8/8/2016,1
8/9/2016,2
8/10/2016,2
8/11/2016,0
8/12/2016,0
8/13/2016,0
8/14/2016,0
8/15/2016,0
8/16/2016,0
8/17/2016,0
8/18/2016,1
8/19/2016,0
8/20/2016,1
8/21/2016,0
8/22/2016,2
8/23/2016,0
8/24/2016,0
8/25/2016,0
8/26/2016,1
8/27/2016,0
8/28/2016,1
8/29/2016,0
8/30/2016,0
8/31/2016,0
9/1/2016,1
9/2/2016,0
9/3/2016,0
9/4/2016,0
9/5/2016,0
9/6/2016,0
9/7/2016,0
9/8/2016,0
9/9/2016,0
9/10/2016,0
9/11/2016,0
9/12/2016,0
9/13/2016,0
9/14/2016,0
9/15/2016,2
9/16/2016,0
9/17/2016,0
9/18/2016,0
9/19/2016,0
