ds,y
1/1/2016,1
1/2/2016,0
1/3/2016,1
1/4/2016,0
1/5/2016,1
1/6/2016,0
1/7/2016,0
1/8/2016,1
1/9/2016,2
1/10/2016,0
1/11/2016,0
1/12/2016,2
1/13/2016,1
1/14/2016,0
1/15/2016,1
1/16/2016,0
1/17/2016,0
1/18/2016,1
1/19/2016,2
1/20/2016,0
1/21/2016,1
1/22/2016,3
1/23/2016,1
1/24/2016,3
1/25/2016,1
1/26/2016,1
1/27/2016,5
1/28/2016,2
1/29/2016,3
1/30/2016,0
1/31/2016,3
2/1/2016,5
2/2/2016,2
2/3/2016,5
2/4/2016,2
2/5/2016,9
2/6/2016,5
2/7/2016,4
2/8/2016,5
2/9/2016,1
2/10/2016,7
2/11/2016,2
2/12/2016,6
2/13/2016,15
2/14/2016,4
2/15/2016,5
2/16/2016,9
2/17/2016,7
2/18/2016,4
2/19/2016,9
2/20/2016,4
2/21/2016,13
2/22/2016,9
2/23/2016,10
2/24/2016,9
2/25/2016,6
2/26/2016,5
2/27/2016,9
2/28/2016,15
2/29/2016,13
3/1/2016,11
3/2/2016,12
3/3/2016,12
3/4/2016,14
3/5/2016,8
3/6/2016,9
3/7/2016,16
3/8/2016,13
3/9/2016,8
3/10/2016,9
3/11/2016,7
3/12/2016,8
3/13/2016,9
3/14/2016,4
3/15/2016,6
3/16/2016,10
3/17/2016,9
3/18/2016,7
3/19/2016,6
3/20/2016,5
3/21/2016,3
3/22/2016,5
3/23/2016,6
3/24/2016,2
3/25/2016,7
3/26/2016,7
3/27/2016,4
3/28/2016,1
3/29/2016,1
3/30/2016,4
3/31/2016,5
4/1/2016,2
4/2/2016,3
4/3/2016,2
4/4/2016,2
4/5/2016,7
4/6/2016,3
4/7/2016,3
4/8/2016,3
4/9/2016,1
4/10/2016,3
4/11/2016,3
4/12/2016,1
4/13/2016,1
4/14/2016,1
4/15/2016,0
4/16/2016,6
4/17/2016,2
4/18/2016,3
4/19/2016,1
4/20/2016,2
4/21/2016,1
4/22/2016,1
4/23/2016,0
4/24/2016,3
4/25/2016,2
4/26/2016,1
4/27/2016,1
4/28/2016,1
4/29/2016,4
4/30/2016,0
5/1/2016,2
5/2/2016,0
5/3/2016,1
5/4/2016,0
5/5/2016,0
5/6/2016,2
5/7/2016,0
5/8/2016,2
5/9/2016,1
5/10/2016,1
5/11/2016,3
5/12/2016,0
5/13/2016,1
5/14/2016,0
5/15/2016,0
5/16/2016,0
5/17/2016,0
5/18/2016,0
5/19/2016,0
5/20/2016,2
5/21/2016,1
5/22/2016,2
5/23/2016,0
5/24/2016,0
5/25/2016,1
5/26/2016,0
5/27/2016,1
5/28/2016,0
5/29/2016,0
5/30/2016,3
5/31/2016,0
6/1/2016,1
6/2/2016,2
6/3/2016,1
6/4/2016,0
6/5/2016,2
6/6/2016,1
6/7/2016,0
6/8/2016,0
6/9/2016,0
6/10/2016,0
6/11/2016,0
