,ds,y
1,1/1/2010,161
2,1/2/2010,197
3,1/3/2010,189
4,1/4/2010,185
5,1/5/2010,153
6,1/6/2010,155
7,1/7/2010,166
8,1/8/2010,168
9,1/9/2010,133
10,1/10/2010,159
11,1/11/2010,159
12,1/12/2010,167
13,1/13/2010,169
14,1/14/2010,171
15,1/15/2010,185
16,1/16/2010,175
17,1/17/2010,157
18,1/18/2010,181
19,1/19/2010,171
20,1/20/2010,166
21,1/21/2010,184
22,1/22/2010,178
23,1/23/2010,145
24,1/24/2010,173
25,1/25/2010,208
26,1/26/2010,177
27,1/27/2010,166
28,1/28/2010,170
29,1/29/2010,183
30,1/30/2010,161
31,1/31/2010,152
32,2/1/2010,169
33,2/2/2010,167
34,2/3/2010,147
35,2/4/2010,168
36,2/5/2010,140
37,2/6/2010,179
38,2/7/2010,156
39,2/8/2010,180
40,2/9/2010,160
41,2/10/2010,164
42,2/11/2010,153
43,2/12/2010,152
44,2/13/2010,165
45,2/14/2010,156
46,2/15/2010,186
47,2/16/2010,185
48,2/17/2010,168
49,2/18/2010,188
50,2/19/2010,172
51,2/20/2010,177
52,2/21/2010,175
53,2/22/2010,219
54,2/23/2010,185
55,2/24/2010,172
56,2/25/2010,176
57,2/26/2010,163
58,2/27/2010,159
59,2/28/2010,157
60,3/1/2010,224
61,3/2/2010,182
62,3/3/2010,167
63,3/4/2010,176
64,3/5/2010,171
65,3/6/2010,171
66,3/7/2010,191
67,3/8/2010,223
68,3/9/2010,169
69,3/10/2010,167
70,3/11/2010,174
71,3/12/2010,187
72,3/13/2010,169
73,3/14/2010,202
74,3/15/2010,198
75,3/16/2010,198
76,3/17/2010,183
77,3/18/2010,179
78,3/19/2010,183
79,3/20/2010,160
80,3/21/2010,151
81,3/22/2010,216
82,3/23/2010,195
83,3/24/2010,192
84,3/25/2010,172
85,3/26/2010,169
86,3/27/2010,179
87,3/28/2010,186
88,3/29/2010,194
89,3/30/2010,195
90,3/31/2010,181
91,4/1/2010,192
92,4/2/2010,198
93,4/3/2010,206
94,4/4/2010,169
95,4/5/2010,193
96,4/6/2010,185
97,4/7/2010,169
98,4/8/2010,174
99,4/9/2010,170
100,4/10/2010,177
101,4/11/2010,179
102,4/12/2010,176
103,4/13/2010,194
104,4/14/2010,165
105,4/15/2010,180
106,4/16/2010,176
107,4/17/2010,164
108,4/18/2010,154
109,4/19/2010,196
110,4/20/2010,193
111,4/21/2010,206
112,4/22/2010,177
113,4/23/2010,172
114,4/24/2010,168
115,4/25/2010,188
116,4/26/2010,205
117,4/27/2010,189
118,4/28/2010,182
119,4/29/2010,168
120,4/30/2010,155
121,5/1/2010,159
122,5/2/2010,198
123,5/3/2010,195
124,5/4/2010,172
125,5/5/2010,188
126,5/6/2010,188
127,5/7/2010,164
128,5/8/2010,162
129,5/9/2010,163
130,5/10/2010,199
131,5/11/2010,185
132,5/12/2010,181
133,5/13/2010,155
134,5/14/2010,184
135,5/15/2010,171
136,5/16/2010,183
137,5/17/2010,186
138,5/18/2010,210
139,5/19/2010,190
140,5/20/2010,192
141,5/21/2010,193
142,5/22/2010,183
143,5/23/2010,180
144,5/24/2010,184
145,5/25/2010,181
146,5/26/2010,178
147,5/27/2010,173
148,5/28/2010,180
149,5/29/2010,167
150,5/30/2010,159
151,5/31/2010,185
152,6/1/2010,195
153,6/2/2010,183
154,6/3/2010,167
155,6/4/2010,185
156,6/5/2010,189
157,6/6/2010,154
158,6/7/2010,191
159,6/8/2010,178
160,6/9/2010,192
161,6/10/2010,182
162,6/11/2010,153
163,6/12/2010,195
164,6/13/2010,195
165,6/14/2010,201
166,6/15/2010,220
167,6/16/2010,143
168,6/17/2010,168
169,6/18/2010,146
170,6/19/2010,166
171,6/20/2010,166
172,6/21/2010,183
173,6/22/2010,167
174,6/23/2010,211
175,6/24/2010,193
176,6/25/2010,185
177,6/26/2010,151
178,6/27/2010,172
179,6/28/2010,218
180,6/29/2010,205
181,6/30/2010,190
182,7/1/2010,149
183,7/2/2010,153
184,7/3/2010,176
185,7/4/2010,168
186,7/5/2010,202
187,7/6/2010,196
188,7/7/2010,164
189,7/8/2010,198
190,7/9/2010,175
191,7/10/2010,178
192,7/11/2010,191
193,7/12/2010,188
194,7/13/2010,188
195,7/14/2010,179
196,7/15/2010,158
197,7/16/2010,185
198,7/17/2010,172
199,7/18/2010,174
200,7/19/2010,209
201,7/20/2010,183
202,7/21/2010,193
203,7/22/2010,195
204,7/23/2010,172
205,7/24/2010,175
206,7/25/2010,191
207,7/26/2010,182
208,7/27/2010,191
209,7/28/2010,193
210,7/29/2010,164
211,7/30/2010,171
212,7/31/2010,169
213,8/1/2010,182
214,8/2/2010,193
215,8/3/2010,194
216,8/4/2010,170
217,8/5/2010,150
218,8/6/2010,176
219,8/7/2010,161
220,8/8/2010,164
221,8/9/2010,194
222,8/10/2010,180
223,8/11/2010,174
224,8/12/2010,176
225,8/13/2010,171
226,8/14/2010,171
227,8/15/2010,192
228,8/16/2010,177
229,8/17/2010,151
230,8/18/2010,176
231,8/19/2010,186
232,8/20/2010,185
233,8/21/2010,174
234,8/22/2010,166
235,8/23/2010,191
236,8/24/2010,165
237,8/25/2010,177
238,8/26/2010,198
239,8/27/2010,182
240,8/28/2010,167
241,8/29/2010,175
242,8/30/2010,212
243,8/31/2010,188
244,9/1/2010,176
245,9/2/2010,184
246,9/3/2010,172
247,9/4/2010,185
248,9/5/2010,194
249,9/6/2010,184
250,9/7/2010,216
251,9/8/2010,180
252,9/9/2010,189
253,9/10/2010,177
254,9/11/2010,174
255,9/12/2010,181
256,9/13/2010,202
257,9/14/2010,202
258,9/15/2010,177
259,9/16/2010,194
260,9/17/2010,175
261,9/18/2010,199
262,9/19/2010,166
263,9/20/2010,205
264,9/21/2010,192
265,9/22/2010,205
266,9/23/2010,170
267,9/24/2010,160
268,9/25/2010,169
269,9/26/2010,185
270,9/27/2010,203
271,9/28/2010,167
272,9/29/2010,180
273,9/30/2010,167
274,10/1/2010,153
275,10/2/2010,182
276,10/3/2010,174
277,10/4/2010,192
278,10/5/2010,172
279,10/6/2010,157
280,10/7/2010,175
281,10/8/2010,178
282,10/9/2010,165
283,10/10/2010,165
284,10/11/2010,190
285,10/12/2010,186
286,10/13/2010,179
287,10/14/2010,173
288,10/15/2010,198
289,10/16/2010,180
290,10/17/2010,179
291,10/18/2010,210
292,10/19/2010,191
293,10/20/2010,171
294,10/21/2010,198
295,10/22/2010,184
296,10/23/2010,179
297,10/24/2010,188
298,10/25/2010,206
299,10/26/2010,176
300,10/27/2010,193
301,10/28/2010,183
302,10/29/2010,149
303,10/30/2010,166
304,10/31/2010,157
305,11/1/2010,199
306,11/2/2010,172
307,11/3/2010,185
308,11/4/2010,169
309,11/5/2010,184
310,11/6/2010,140
311,11/7/2010,168
312,11/8/2010,193
313,11/9/2010,174
314,11/10/2010,166
315,11/11/2010,195
316,11/12/2010,166
317,11/13/2010,181
318,11/14/2010,177
319,11/15/2010,197
320,11/16/2010,191
321,11/17/2010,171
322,11/18/2010,159
323,11/19/2010,165
324,11/20/2010,167
325,11/21/2010,192
326,11/22/2010,202
327,11/23/2010,194
328,11/24/2010,176
329,11/25/2010,136
330,11/26/2010,177
331,11/27/2010,202
332,11/28/2010,177
333,11/29/2010,207
334,11/30/2010,198
335,12/1/2010,179
336,12/2/2010,167
337,12/3/2010,155
338,12/4/2010,174
339,12/5/2010,189
340,12/6/2010,191
341,12/7/2010,169
342,12/8/2010,181
343,12/9/2010,186
344,12/10/2010,164
345,12/11/2010,166
346,12/12/2010,186
347,12/13/2010,192
348,12/14/2010,170
349,12/15/2010,166
350,12/16/2010,193
351,12/17/2010,191
352,12/18/2010,196
353,12/19/2010,194
354,12/20/2010,202
355,12/21/2010,182
356,12/22/2010,169
357,12/23/2010,156
358,12/24/2010,158
359,12/25/2010,178
360,12/26/2010,207
361,12/27/2010,211
362,12/28/2010,188
363,12/29/2010,192
364,12/30/2010,199
365,12/31/2010,196
366,1/1/2011,224
367,1/2/2011,207
368,1/3/2011,221
369,1/4/2011,195
370,1/5/2011,190
371,1/6/2011,228
372,1/7/2011,203
373,1/8/2011,189
374,1/9/2011,172
375,1/10/2011,202
376,1/11/2011,205
377,1/12/2011,171
378,1/13/2011,168
379,1/14/2011,166
380,1/15/2011,176
381,1/16/2011,166
382,1/17/2011,176
383,1/18/2011,179
384,1/19/2011,204
385,1/20/2011,191
386,1/21/2011,209
387,1/22/2011,181
388,1/23/2011,177
389,1/24/2011,212
390,1/25/2011,196
391,1/26/2011,180
392,1/27/2011,170
393,1/28/2011,203
394,1/29/2011,169
395,1/30/2011,182
396,1/31/2011,197
397,2/1/2011,196
398,2/2/2011,187
399,2/3/2011,190
400,2/4/2011,200
401,2/5/2011,165
402,2/6/2011,182
403,2/7/2011,197
404,2/8/2011,174
405,2/9/2011,195
406,2/10/2011,182
407,2/11/2011,196
408,2/12/2011,161
409,2/13/2011,177
410,2/14/2011,186
411,2/15/2011,188
412,2/16/2011,176
413,2/17/2011,196
414,2/18/2011,214
415,2/19/2011,163
416,2/20/2011,191
417,2/21/2011,211
418,2/22/2011,204
419,2/23/2011,190
420,2/24/2011,199
421,2/25/2011,193
422,2/26/2011,185
423,2/27/2011,190
424,2/28/2011,214
425,3/1/2011,182
426,3/2/2011,183
427,3/3/2011,186
428,3/4/2011,187
429,3/5/2011,176
430,3/6/2011,175
431,3/7/2011,203
432,3/8/2011,201
433,3/9/2011,184
434,3/10/2011,186
435,3/11/2011,189
436,3/12/2011,186
437,3/13/2011,183
438,3/14/2011,216
439,3/15/2011,196
440,3/16/2011,181
441,3/17/2011,179
442,3/18/2011,186
443,3/19/2011,177
444,3/20/2011,193
445,3/21/2011,218
446,3/22/2011,190
447,3/23/2011,202
448,3/24/2011,164
449,3/25/2011,183
450,3/26/2011,178
451,3/27/2011,196
452,3/28/2011,180
453,3/29/2011,193
454,3/30/2011,211
455,3/31/2011,170
456,4/1/2011,170
457,4/2/2011,192
458,4/3/2011,179
459,4/4/2011,226
460,4/5/2011,178
461,4/6/2011,179
462,4/7/2011,212
463,4/8/2011,200
464,4/9/2011,162
465,4/10/2011,192
466,4/11/2011,193
467,4/12/2011,181
468,4/13/2011,163
469,4/14/2011,189
470,4/15/2011,165
471,4/16/2011,158
472,4/17/2011,177
473,4/18/2011,204
474,4/19/2011,179
475,4/20/2011,175
476,4/21/2011,187
477,4/22/2011,174
478,4/23/2011,192
479,4/24/2011,192
480,4/25/2011,204
481,4/26/2011,199
482,4/27/2011,208
483,4/28/2011,167
484,4/29/2011,181
485,4/30/2011,149
486,5/1/2011,158
487,5/2/2011,205
488,5/3/2011,185
489,5/4/2011,208
490,5/5/2011,177
491,5/6/2011,174
492,5/7/2011,180
493,5/8/2011,162
494,5/9/2011,215
495,5/10/2011,194
496,5/11/2011,173
497,5/12/2011,167
498,5/13/2011,179
499,5/14/2011,199
500,5/15/2011,177
501,5/16/2011,206
502,5/17/2011,176
503,5/18/2011,171
504,5/19/2011,186
505,5/20/2011,186
506,5/21/2011,188
507,5/22/2011,196
508,5/23/2011,213
509,5/24/2011,181
510,5/25/2011,167
511,5/26/2011,163
512,5/27/2011,185
513,5/28/2011,169
514,5/29/2011,161
515,5/30/2011,185
516,5/31/2011,191
517,6/1/2011,184
518,6/2/2011,178
519,6/3/2011,159
520,6/4/2011,167
521,6/5/2011,189
522,6/6/2011,192
523,6/7/2011,190
524,6/8/2011,173
525,6/9/2011,171
526,6/10/2011,153
527,6/11/2011,164
528,6/12/2011,187
529,6/13/2011,191
530,6/14/2011,192
531,6/15/2011,180
532,6/16/2011,177
533,6/17/2011,167
534,6/18/2011,158
535,6/19/2011,178
536,6/20/2011,195
537,6/21/2011,202
538,6/22/2011,180
539,6/23/2011,163
540,6/24/2011,155
541,6/25/2011,175
542,6/26/2011,175
543,6/27/2011,194
544,6/28/2011,163
545,6/29/2011,166
546,6/30/2011,178
547,7/1/2011,160
548,7/2/2011,158
549,7/3/2011,170
550,7/4/2011,183
551,7/5/2011,188
552,7/6/2011,170
553,7/7/2011,176
554,7/8/2011,178
555,7/9/2011,178
556,7/10/2011,182
557,7/11/2011,199
558,7/12/2011,177
559,7/13/2011,180
560,7/14/2011,188
561,7/15/2011,184
562,7/16/2011,188
563,7/17/2011,162
564,7/18/2011,211
565,7/19/2011,183
566,7/20/2011,179
567,7/21/2011,156
568,7/22/2011,176
569,7/23/2011,178
570,7/24/2011,173
571,7/25/2011,203
572,7/26/2011,191
573,7/27/2011,158
574,7/28/2011,145
575,7/29/2011,163
576,7/30/2011,186
577,7/31/2011,179
578,8/1/2011,187
579,8/2/2011,168
580,8/3/2011,176
581,8/4/2011,188
582,8/5/2011,185
583,8/6/2011,188
584,8/7/2011,165
585,8/8/2011,177
586,8/9/2011,181
587,8/10/2011,177
588,8/11/2011,200
589,8/12/2011,187
590,8/13/2011,173
591,8/14/2011,159
592,8/15/2011,174
593,8/16/2011,172
594,8/17/2011,173
595,8/18/2011,178
596,8/19/2011,175
597,8/20/2011,176
598,8/21/2011,178
599,8/22/2011,211
600,8/23/2011,190
601,8/24/2011,204
602,8/25/2011,175
603,8/26/2011,189
604,8/27/2011,178
605,8/28/2011,192
606,8/29/2011,195
607,8/30/2011,175
608,8/31/2011,164
609,9/1/2011,181
610,9/2/2011,197
611,9/3/2011,173
612,9/4/2011,185
