,ds,y
1,1/1/2010,144
2,1/2/2010,151
3,1/3/2010,93
4,1/4/2010,102
5,1/5/2010,100
6,1/6/2010,101
7,1/7/2010,102
8,1/8/2010,106
9,1/9/2010,93
10,1/10/2010,104
11,1/11/2010,91
12,1/12/2010,94
13,1/13/2010,101
14,1/14/2010,113
15,1/15/2010,125
16,1/16/2010,111
17,1/17/2010,138
18,1/18/2010,114
19,1/19/2010,115
20,1/20/2010,119
21,1/21/2010,107
22,1/22/2010,112
23,1/23/2010,97
24,1/24/2010,105
25,1/25/2010,108
26,1/26/2010,96
27,1/27/2010,104
28,1/28/2010,82
29,1/29/2010,121
30,1/30/2010,102
31,1/31/2010,95
32,2/1/2010,108
33,2/2/2010,113
34,2/3/2010,119
35,2/4/2010,88
36,2/5/2010,114
37,2/6/2010,118
38,2/7/2010,112
39,2/8/2010,128
40,2/9/2010,110
41,2/10/2010,97
42,2/11/2010,106
43,2/12/2010,106
44,2/13/2010,125
45,2/14/2010,132
46,2/15/2010,138
47,2/16/2010,112
48,2/17/2010,122
49,2/18/2010,135
50,2/19/2010,126
51,2/20/2010,131
52,2/21/2010,130
53,2/22/2010,119
54,2/23/2010,121
55,2/24/2010,95
56,2/25/2010,117
57,2/26/2010,113
58,2/27/2010,92
59,2/28/2010,91
60,3/1/2010,135
61,3/2/2010,124
62,3/3/2010,104
63,3/4/2010,106
64,3/5/2010,105
65,3/6/2010,119
66,3/7/2010,120
67,3/8/2010,143
68,3/9/2010,125
69,3/10/2010,126
70,3/11/2010,126
71,3/12/2010,120
72,3/13/2010,127
73,3/14/2010,115
74,3/15/2010,118
75,3/16/2010,148
76,3/17/2010,129
77,3/18/2010,117
78,3/19/2010,121
79,3/20/2010,124
80,3/21/2010,128
81,3/22/2010,117
82,3/23/2010,119
83,3/24/2010,119
84,3/25/2010,116
85,3/26/2010,100
86,3/27/2010,114
87,3/28/2010,119
88,3/29/2010,122
89,3/30/2010,116
90,3/31/2010,122
91,4/1/2010,118
92,4/2/2010,128
93,4/3/2010,125
94,4/4/2010,130
95,4/5/2010,126
96,4/6/2010,132
97,4/7/2010,120
98,4/8/2010,133
99,4/9/2010,100
100,4/10/2010,114
101,4/11/2010,108
102,4/12/2010,134
103,4/13/2010,104
104,4/14/2010,110
105,4/15/2010,116
106,4/16/2010,116
107,4/17/2010,119
108,4/18/2010,124
109,4/19/2010,122
110,4/20/2010,127
111,4/21/2010,100
112,4/22/2010,114
113,4/23/2010,121
114,4/24/2010,118
115,4/25/2010,113
116,4/26/2010,113
117,4/27/2010,98
118,4/28/2010,116
119,4/29/2010,102
120,4/30/2010,86
121,5/1/2010,101
122,5/2/2010,99
123,5/3/2010,110
124,5/4/2010,109
125,5/5/2010,93
126,5/6/2010,108
127,5/7/2010,94
128,5/8/2010,120
129,5/9/2010,110
130,5/10/2010,117
131,5/11/2010,117
132,5/12/2010,91
133,5/13/2010,117
134,5/14/2010,99
135,5/15/2010,98
136,5/16/2010,98
137,5/17/2010,105
138,5/18/2010,113
139,5/19/2010,106
140,5/20/2010,131
141,5/21/2010,117
142,5/22/2010,131
143,5/23/2010,112
144,5/24/2010,116
145,5/25/2010,117
146,5/26/2010,119
147,5/27/2010,117
148,5/28/2010,113
149,5/29/2010,132
150,5/30/2010,119
151,5/31/2010,129
152,6/1/2010,110
153,6/2/2010,107
154,6/3/2010,95
155,6/4/2010,108
156,6/5/2010,104
157,6/6/2010,130
158,6/7/2010,112
159,6/8/2010,108
160,6/9/2010,103
161,6/10/2010,114
162,6/11/2010,115
163,6/12/2010,129
164,6/13/2010,138
165,6/14/2010,112
166,6/15/2010,117
167,6/16/2010,132
168,6/17/2010,125
169,6/18/2010,106
170,6/19/2010,122
171,6/20/2010,101
172,6/21/2010,133
173,6/22/2010,105
174,6/23/2010,133
175,6/24/2010,104
176,6/25/2010,115
177,6/26/2010,125
178,6/27/2010,120
179,6/28/2010,129
180,6/29/2010,103
181,6/30/2010,114
182,7/1/2010,112
183,7/2/2010,118
184,7/3/2010,128
185,7/4/2010,138
186,7/5/2010,123
187,7/6/2010,127
188,7/7/2010,138
189,7/8/2010,132
190,7/9/2010,120
191,7/10/2010,116
192,7/11/2010,115
193,7/12/2010,118
194,7/13/2010,126
195,7/14/2010,131
196,7/15/2010,131
197,7/16/2010,137
198,7/17/2010,136
199,7/18/2010,115
200,7/19/2010,136
201,7/20/2010,126
202,7/21/2010,117
203,7/22/2010,137
204,7/23/2010,126
205,7/24/2010,117
206,7/25/2010,122
207,7/26/2010,140
208,7/27/2010,132
209,7/28/2010,136
210,7/29/2010,124
211,7/30/2010,102
212,7/31/2010,132
213,8/1/2010,124
214,8/2/2010,141
215,8/3/2010,121
216,8/4/2010,123
217,8/5/2010,131
218,8/6/2010,119
219,8/7/2010,113
220,8/8/2010,117
221,8/9/2010,132
222,8/10/2010,111
223,8/11/2010,114
224,8/12/2010,114
225,8/13/2010,128
226,8/14/2010,105
227,8/15/2010,107
228,8/16/2010,134
229,8/17/2010,102
230,8/18/2010,121
231,8/19/2010,118
232,8/20/2010,126
233,8/21/2010,108
234,8/22/2010,104
235,8/23/2010,126
236,8/24/2010,111
237,8/25/2010,116
238,8/26/2010,100
239,8/27/2010,98
240,8/28/2010,97
241,8/29/2010,93
242,8/30/2010,92
243,8/31/2010,99
244,9/1/2010,92
245,9/2/2010,110
246,9/3/2010,125
247,9/4/2010,124
248,9/5/2010,131
249,9/6/2010,91
250,9/7/2010,108
251,9/8/2010,129
252,9/9/2010,98
253,9/10/2010,106
254,9/11/2010,105
255,9/12/2010,120
256,9/13/2010,99
257,9/14/2010,115
258,9/15/2010,105
259,9/16/2010,94
260,9/17/2010,100
261,9/18/2010,97
262,9/19/2010,112
263,9/20/2010,109
264,9/21/2010,120
265,9/22/2010,101
266,9/23/2010,107
267,9/24/2010,103
268,9/25/2010,107
269,9/26/2010,120
270,9/27/2010,98
271,9/28/2010,90
272,9/29/2010,90
273,9/30/2010,107
274,10/1/2010,107
275,10/2/2010,95
276,10/3/2010,88
277,10/4/2010,115
278,10/5/2010,115
279,10/6/2010,117
280,10/7/2010,107
281,10/8/2010,87
282,10/9/2010,111
283,10/10/2010,111
284,10/11/2010,106
285,10/12/2010,124
286,10/13/2010,101
287,10/14/2010,96
288,10/15/2010,108
289,10/16/2010,107
290,10/17/2010,100
291,10/18/2010,111
292,10/19/2010,112
293,10/20/2010,125
294,10/21/2010,108
295,10/22/2010,117
296,10/23/2010,124
297,10/24/2010,107
298,10/25/2010,111
299,10/26/2010,108
300,10/27/2010,124
301,10/28/2010,114
302,10/29/2010,114
303,10/30/2010,120
304,10/31/2010,111
305,11/1/2010,90
306,11/2/2010,107
307,11/3/2010,79
308,11/4/2010,100
309,11/5/2010,94
310,11/6/2010,96
311,11/7/2010,100
312,11/8/2010,121
313,11/9/2010,93
314,11/10/2010,83
315,11/11/2010,122
316,11/12/2010,103
317,11/13/2010,99
318,11/14/2010,126
319,11/15/2010,112
320,11/16/2010,119
321,11/17/2010,124
322,11/18/2010,115
