ds,y
1/1/2010,58
1/2/2010,47
1/3/2010,36
1/4/2010,29
1/5/2010,44
1/6/2010,19
1/7/2010,25
1/8/2010,32
1/9/2010,21
1/10/2010,46
1/11/2010,30
1/12/2010,23
1/13/2010,16
1/14/2010,38
1/15/2010,30
1/16/2010,41
1/17/2010,45
1/18/2010,38
1/19/2010,46
1/20/2010,19
1/21/2010,25
1/22/2010,30
1/23/2010,23
1/24/2010,51
1/25/2010,32
1/26/2010,34
1/27/2010,40
1/28/2010,30
1/29/2010,27
1/30/2010,47
1/31/2010,43
2/1/2010,50
2/2/2010,29
2/3/2010,32
2/4/2010,34
2/5/2010,35
2/6/2010,39
2/7/2010,46
2/8/2010,40
2/9/2010,35
2/10/2010,31
2/11/2010,36
2/12/2010,27
2/13/2010,47
2/14/2010,50
2/15/2010,44
2/16/2010,54
2/17/2010,33
2/18/2010,43
2/19/2010,35
2/20/2010,43
2/21/2010,43
2/22/2010,33
2/23/2010,34
2/24/2010,40
2/25/2010,27
2/26/2010,24
2/27/2010,34
2/28/2010,49
3/1/2010,39
3/2/2010,34
3/3/2010,31
3/4/2010,28
3/5/2010,39
3/6/2010,51
3/7/2010,42
3/8/2010,57
3/9/2010,36
3/10/2010,36
3/11/2010,40
3/12/2010,45
3/13/2010,38
3/14/2010,49
3/15/2010,50
3/16/2010,37
3/17/2010,49
3/18/2010,39
3/19/2010,49
3/20/2010,45
3/21/2010,48
3/22/2010,44
3/23/2010,40
3/24/2010,49
3/25/2010,31
3/26/2010,46
3/27/2010,35
3/28/2010,64
3/29/2010,48
3/30/2010,47
3/31/2010,48
4/1/2010,51
4/2/2010,56
4/3/2010,64
4/4/2010,60
4/5/2010,70
4/6/2010,45
4/7/2010,55
4/8/2010,47
4/9/2010,42
4/10/2010,43
4/11/2010,50
4/12/2010,41
4/13/2010,41
4/14/2010,39
4/15/2010,27
4/16/2010,37
4/17/2010,43
4/18/2010,35
4/19/2010,49
4/20/2010,52
4/21/2010,45
4/22/2010,44
4/23/2010,54
4/24/2010,41
4/25/2010,46
4/26/2010,55
4/27/2010,19
4/28/2010,29
4/29/2010,47
4/30/2010,40
5/1/2010,50
5/2/2010,35
5/3/2010,34
5/4/2010,36
5/5/2010,33
5/6/2010,49
5/7/2010,38
5/8/2010,46
5/9/2010,34
5/10/2010,42
5/11/2010,38
5/12/2010,40
5/13/2010,42
5/14/2010,41
5/15/2010,53
5/16/2010,32
5/17/2010,43
5/18/2010,38
5/19/2010,32
5/20/2010,45
5/21/2010,41
5/22/2010,45
5/23/2010,39
5/24/2010,43
5/25/2010,55
5/26/2010,29
5/27/2010,36
5/28/2010,36
5/29/2010,52
5/30/2010,62
5/31/2010,42
6/1/2010,45
6/2/2010,26
6/3/2010,27
6/4/2010,39
6/5/2010,39
6/6/2010,34
6/7/2010,50
6/8/2010,45
6/9/2010,46
6/10/2010,39
6/11/2010,58
6/12/2010,43
6/13/2010,47
6/14/2010,48
6/15/2010,40
6/16/2010,50
6/17/2010,48
6/18/2010,35
6/19/2010,35
6/20/2010,41
6/21/2010,51
6/22/2010,36
6/23/2010,58
6/24/2010,52
6/25/2010,37
6/26/2010,61
6/27/2010,52
6/28/2010,49
6/29/2010,37
6/30/2010,39
7/1/2010,35
7/2/2010,54
7/3/2010,48
7/4/2010,53
7/5/2010,58
7/6/2010,57
7/7/2010,49
7/8/2010,65
7/9/2010,55
7/10/2010,48
7/11/2010,57
7/12/2010,55
7/13/2010,55
7/14/2010,48
7/15/2010,49
7/16/2010,62
7/17/2010,56
7/18/2010,53
7/19/2010,41
7/20/2010,55
7/21/2010,52
