,ds,y
1,1/1/2010,101
2,1/2/2010,108
3,1/3/2010,87
4,1/4/2010,131
5,1/5/2010,89
6,1/6/2010,103
7,1/7/2010,98
8,1/8/2010,93
9,1/9/2010,62
10,1/10/2010,73
11,1/11/2010,100
12,1/12/2010,110
13,1/13/2010,102
14,1/14/2010,99
15,1/15/2010,117
16,1/16/2010,105
17,1/17/2010,99
18,1/18/2010,112
19,1/19/2010,115
20,1/20/2010,115
21,1/21/2010,96
22,1/22/2010,98
23,1/23/2010,103
24,1/24/2010,105
25,1/25/2010,92
26,1/26/2010,104
27,1/27/2010,97
28,1/28/2010,105
29,1/29/2010,95
30,1/30/2010,104
31,1/31/2010,92
32,2/1/2010,110
33,2/2/2010,106
34,2/3/2010,86
35,2/4/2010,117
36,2/5/2010,105
37,2/6/2010,90
38,2/7/2010,90
39,2/8/2010,99
40,2/9/2010,99
41,2/10/2010,102
42,2/11/2010,119
43,2/12/2010,83
44,2/13/2010,101
45,2/14/2010,108
46,2/15/2010,132
47,2/16/2010,122
48,2/17/2010,120
49,2/18/2010,112
50,2/19/2010,109
51,2/20/2010,114
52,2/21/2010,117
53,2/22/2010,135
54,2/23/2010,130
55,2/24/2010,105
56,2/25/2010,112
57,2/26/2010,114
58,2/27/2010,99
59,2/28/2010,99
60,3/1/2010,127
61,3/2/2010,115
62,3/3/2010,102
63,3/4/2010,115
64,3/5/2010,106
65,3/6/2010,112
66,3/7/2010,106
67,3/8/2010,132
68,3/9/2010,118
69,3/10/2010,118
70,3/11/2010,114
71,3/12/2010,112
72,3/13/2010,128
73,3/14/2010,104
74,3/15/2010,132
75,3/16/2010,134
76,3/17/2010,133
77,3/18/2010,114
78,3/19/2010,115
79,3/20/2010,113
80,3/21/2010,123
81,3/22/2010,135
82,3/23/2010,135
83,3/24/2010,131
84,3/25/2010,123
85,3/26/2010,107
86,3/27/2010,131
87,3/28/2010,99
88,3/29/2010,103
89,3/30/2010,111
90,3/31/2010,111
91,4/1/2010,114
92,4/2/2010,134
93,4/3/2010,104
94,4/4/2010,124
95,4/5/2010,121
96,4/6/2010,122
97,4/7/2010,96
98,4/8/2010,107
99,4/9/2010,109
100,4/10/2010,100
101,4/11/2010,109
102,4/12/2010,122
103,4/13/2010,105
104,4/14/2010,114
105,4/15/2010,118
106,4/16/2010,116
107,4/17/2010,125
108,4/18/2010,90
109,4/19/2010,134
110,4/20/2010,101
111,4/21/2010,120
112,4/22/2010,99
113,4/23/2010,91
114,4/24/2010,113
115,4/25/2010,107
116,4/26/2010,125
117,4/27/2010,96
118,4/28/2010,112
119,4/29/2010,106
120,4/30/2010,96
121,5/1/2010,93
122,5/2/2010,100
123,5/3/2010,128
124,5/4/2010,118
125,5/5/2010,109
126,5/6/2010,116
127,5/7/2010,117
128,5/8/2010,108
129,5/9/2010,85
130,5/10/2010,122
131,5/11/2010,122
132,5/12/2010,89
133,5/13/2010,111
134,5/14/2010,92
