ds,y
1/1/2010,161
1/2/2010,156
1/3/2010,149
1/4/2010,161
1/5/2010,162
1/6/2010,133
1/7/2010,136
1/8/2010,176
1/9/2010,117
1/10/2010,136
1/11/2010,157
1/12/2010,146
1/13/2010,157
1/14/2010,149
1/15/2010,179
1/16/2010,140
1/17/2010,158
1/18/2010,171
1/19/2010,154
1/20/2010,152
1/21/2010,172
1/22/2010,158
1/23/2010,152
1/24/2010,158
1/25/2010,184
1/26/2010,148
1/27/2010,131
1/28/2010,160
1/29/2010,150
1/30/2010,127
1/31/2010,137
2/1/2010,158
2/2/2010,168
2/3/2010,163
2/4/2010,153
2/5/2010,147
2/6/2010,158
2/7/2010,127
2/8/2010,189
2/9/2010,177
2/10/2010,140
2/11/2010,162
2/12/2010,180
2/13/2010,131
2/14/2010,122
2/15/2010,185
2/16/2010,164
2/17/2010,187
2/18/2010,169
2/19/2010,178
2/20/2010,154
2/21/2010,137
2/22/2010,227
2/23/2010,189
2/24/2010,181
2/25/2010,163
2/26/2010,188
2/27/2010,140
2/28/2010,175
3/1/2010,208
3/2/2010,165
3/3/2010,161
3/4/2010,184
3/5/2010,164
3/6/2010,149
3/7/2010,141
3/8/2010,215
3/9/2010,184
3/10/2010,200
3/11/2010,178
3/12/2010,173
3/13/2010,166
3/14/2010,150
3/15/2010,216
3/16/2010,170
3/17/2010,188
3/18/2010,197
3/19/2010,183
3/20/2010,150
3/21/2010,145
3/22/2010,214
3/23/2010,182
3/24/2010,161
3/25/2010,174
3/26/2010,184
3/27/2010,163
3/28/2010,170
3/29/2010,196
3/30/2010,193
3/31/2010,165
4/1/2010,165
4/2/2010,155
4/3/2010,140
4/4/2010,181
4/5/2010,195
4/6/2010,198
4/7/2010,171
4/8/2010,187
4/9/2010,185
4/10/2010,186
4/11/2010,174
4/12/2010,224
4/13/2010,181
4/14/2010,178
4/15/2010,161
4/16/2010,188
4/17/2010,168
4/18/2010,148
4/19/2010,205
4/20/2010,204
4/21/2010,177
4/22/2010,157
4/23/2010,195
4/24/2010,179
4/25/2010,136
4/26/2010,204
4/27/2010,155
4/28/2010,187
4/29/2010,167
4/30/2010,158
5/1/2010,140
5/2/2010,159
5/3/2010,188
5/4/2010,187
5/5/2010,167
5/6/2010,176
5/7/2010,167
5/8/2010,165
5/9/2010,150
5/10/2010,189
5/11/2010,184
5/12/2010,190
5/13/2010,192
5/14/2010,170
5/15/2010,137
5/16/2010,155
5/17/2010,209
5/18/2010,196
5/19/2010,189
