ds,y
1/1/2016,1
1/2/2016,3
1/3/2016,2
1/4/2016,2
1/5/2016,2
1/6/2016,2
1/7/2016,5
1/8/2016,1
1/9/2016,2
1/10/2016,2
1/11/2016,2
1/12/2016,1
1/13/2016,2
1/14/2016,6
1/15/2016,1
1/16/2016,2
1/17/2016,5
1/18/2016,5
1/19/2016,7
1/20/2016,9
1/21/2016,4
1/22/2016,3
1/23/2016,7
1/24/2016,7
1/25/2016,3
1/26/2016,11
1/27/2016,0
1/28/2016,7
1/29/2016,7
1/30/2016,3
1/31/2016,7
2/1/2016,6
2/2/2016,9
2/3/2016,6
2/4/2016,7
2/5/2016,7
2/6/2016,10
2/7/2016,15
2/8/2016,12
2/9/2016,13
2/10/2016,13
2/11/2016,15
2/12/2016,8
2/13/2016,23
2/14/2016,24
2/15/2016,22
2/16/2016,27
2/17/2016,24
2/18/2016,27
2/19/2016,26
2/20/2016,24
2/21/2016,24
2/22/2016,31
2/23/2016,33
2/24/2016,30
2/25/2016,25
2/26/2016,18
2/27/2016,18
2/28/2016,18
2/29/2016,34
3/1/2016,15
3/2/2016,33
3/3/2016,33
3/4/2016,30
3/5/2016,38
3/6/2016,22
3/7/2016,27
3/8/2016,20
3/9/2016,31
3/10/2016,32
3/11/2016,17
3/12/2016,22
3/13/2016,34
3/14/2016,24
3/15/2016,25
3/16/2016,13
3/17/2016,18
3/18/2016,13
3/19/2016,14
3/20/2016,13
3/21/2016,11
3/22/2016,9
3/23/2016,9
3/24/2016,12
3/25/2016,12
3/26/2016,12
3/27/2016,20
3/28/2016,18
3/29/2016,11
3/30/2016,14
3/31/2016,11
4/1/2016,9
4/2/2016,6
4/3/2016,7
4/4/2016,13
4/5/2016,10
4/6/2016,11
4/7/2016,15
4/8/2016,9
4/9/2016,13
4/10/2016,8
4/11/2016,13
4/12/2016,11
4/13/2016,13
4/14/2016,7
4/15/2016,2
4/16/2016,8
4/17/2016,9
4/18/2016,7
4/19/2016,13
4/20/2016,4
4/21/2016,7
4/22/2016,6
4/23/2016,5
4/24/2016,5
4/25/2016,5
4/26/2016,5
4/27/2016,6
4/28/2016,7
4/29/2016,7
4/30/2016,3
5/1/2016,2
5/2/2016,4
5/3/2016,5
5/4/2016,2
5/5/2016,4
5/6/2016,4
5/7/2016,3
5/8/2016,6
5/9/2016,3
5/10/2016,4
5/11/2016,3
5/12/2016,5
5/13/2016,3
5/14/2016,5
5/15/2016,5
5/16/2016,2
5/17/2016,3
5/18/2016,5
5/19/2016,2
5/20/2016,0
5/21/2016,2
5/22/2016,4
5/23/2016,1
5/24/2016,0
5/25/2016,2
5/26/2016,1
5/27/2016,1
5/28/2016,1
5/29/2016,3
5/30/2016,1
5/31/2016,1
6/1/2016,1
6/2/2016,1
6/3/2016,1
6/4/2016,1
6/5/2016,5
6/6/2016,2
6/7/2016,0
6/8/2016,1
6/9/2016,3
6/10/2016,1
6/11/2016,0
6/12/2016,1
6/13/2016,1
6/14/2016,1
6/15/2016,2
6/16/2016,0
6/17/2016,0
6/18/2016,2
6/19/2016,1
6/20/2016,0
6/21/2016,4
6/22/2016,2
6/23/2016,0
6/24/2016,0
6/25/2016,0
6/26/2016,0
6/27/2016,2
6/28/2016,1
6/29/2016,1
6/30/2016,3
7/1/2016,0
7/2/2016,1
7/3/2016,0
7/4/2016,0
7/5/2016,2
7/6/2016,0
7/7/2016,0
7/8/2016,0
7/9/2016,1
7/10/2016,1
7/11/2016,1
7/12/2016,0
7/13/2016,0
7/14/2016,0
7/15/2016,0
7/16/2016,0
7/17/2016,1
7/18/2016,0
7/19/2016,1
7/20/2016,0
7/21/2016,0
7/22/2016,0
7/23/2016,0
7/24/2016,1
7/25/2016,2
7/26/2016,0
7/27/2016,0
7/28/2016,1
7/29/2016,1
7/30/2016,0
7/31/2016,0
8/1/2016,0
8/2/2016,0
8/3/2016,0
8/4/2016,2
8/5/2016,2
8/6/2016,0
8/7/2016,0
8/8/2016,0
8/9/2016,0
8/10/2016,0
8/11/2016,1
8/12/2016,1
8/13/2016,1
8/14/2016,0
8/15/2016,1
8/16/2016,0
8/17/2016,0
8/18/2016,0
8/19/2016,0
8/20/2016,1
8/21/2016,0
8/22/2016,1
8/23/2016,2
8/24/2016,2
8/25/2016,0
8/26/2016,0
8/27/2016,1
8/28/2016,0
8/29/2016,1
8/30/2016,1
8/31/2016,0
9/1/2016,3
9/2/2016,1
9/3/2016,0
9/4/2016,5
9/5/2016,0
9/6/2016,0
9/7/2016,0
9/8/2016,2
9/9/2016,3
9/10/2016,0
9/11/2016,0
9/12/2016,0
9/13/2016,0
9/14/2016,0
9/15/2016,0
9/16/2016,0
9/17/2016,1
9/18/2016,1
9/19/2016,1
9/20/2016,1
9/21/2016,0
9/22/2016,3
9/23/2016,2
9/24/2016,0
9/25/2016,0
9/26/2016,1
9/27/2016,0
9/28/2016,1
9/29/2016,0
9/30/2016,2
10/1/2016,0
10/2/2016,0
10/3/2016,2
10/4/2016,2
10/5/2016,0
10/6/2016,0
10/7/2016,1
10/8/2016,1
10/9/2016,0
10/10/2016,2
10/11/2016,1
10/12/2016,1
10/13/2016,2
10/14/2016,1
10/15/2016,2
10/16/2016,1
10/17/2016,1
10/18/2016,0
10/19/2016,1
10/20/2016,0
10/21/2016,0
10/22/2016,4
10/23/2016,3
10/24/2016,1
10/25/2016,1
10/26/2016,3
10/27/2016,1
10/28/2016,6
10/29/2016,0
10/30/2016,5
10/31/2016,2
11/1/2016,2
11/2/2016,1
11/3/2016,1
11/4/2016,3
11/5/2016,2
11/6/2016,1
11/7/2016,5
11/8/2016,0
11/9/2016,4
11/10/2016,2
11/11/2016,3
11/12/2016,4
11/13/2016,5
11/14/2016,5
11/15/2016,4
11/16/2016,1
11/17/2016,2
11/18/2016,2
11/19/2016,2
11/20/2016,2
11/21/2016,2
11/22/2016,1
11/23/2016,2
11/24/2016,4
11/25/2016,8
11/26/2016,3
11/27/2016,4
11/28/2016,1
11/29/2016,0
11/30/2016,3
12/1/2016,2
12/2/2016,4
12/3/2016,3
12/4/2016,8
12/5/2016,6
12/6/2016,6
12/7/2016,11
12/8/2016,2
12/9/2016,4
12/10/2016,8
12/11/2016,7
12/12/2016,7
12/13/2016,3
12/14/2016,5
12/15/2016,7
12/16/2016,7
12/17/2016,8
12/18/2016,13
12/19/2016,6
12/20/2016,8
12/21/2016,8
12/22/2016,6
12/23/2016,7
12/24/2016,6
12/25/2016,11
12/26/2016,16
12/27/2016,16
12/28/2016,8
12/29/2016,14
12/30/2016,8
12/31/2016,15
1/1/2017,12
1/2/2017,21
1/3/2017,20
1/4/2017,20
1/5/2017,18
1/6/2017,11
1/7/2017,10
1/8/2017,5
1/9/2017,10
1/10/2017,16
1/11/2017,13
1/12/2017,23
1/13/2017,23
1/14/2017,16
1/15/2017,21
1/16/2017,24
1/17/2017,30
1/18/2017,16
1/19/2017,28
1/20/2017,24
1/21/2017,13
1/22/2017,22
1/23/2017,23
1/24/2017,21
1/25/2017,8
1/26/2017,29
1/27/2017,20
1/28/2017,14
1/29/2017,16
1/30/2017,18
1/31/2017,16
2/1/2017,18
2/2/2017,16
2/3/2017,20
2/4/2017,23
2/5/2017,34
2/6/2017,22
2/7/2017,25
2/8/2017,26
2/9/2017,29
2/10/2017,20
2/11/2017,22
2/12/2017,11
2/13/2017,21
2/14/2017,23
2/15/2017,22
2/16/2017,16
2/17/2017,19
2/18/2017,19
2/19/2017,15
2/20/2017,24
2/21/2017,26
2/22/2017,29
2/23/2017,18
2/24/2017,18
2/25/2017,15
2/26/2017,21
2/27/2017,12
2/28/2017,18
3/1/2017,20
3/2/2017,15
3/3/2017,19
3/4/2017,10
3/5/2017,18
3/6/2017,14
3/7/2017,16
3/8/2017,17
3/9/2017,14
3/10/2017,6
3/11/2017,12
3/12/2017,11
3/13/2017,15
3/14/2017,9
3/15/2017,15
3/16/2017,11
3/17/2017,13
3/18/2017,12
3/19/2017,11
3/20/2017,12
3/21/2017,15
3/22/2017,10
3/23/2017,9
3/24/2017,16
3/25/2017,17
3/26/2017,13
3/27/2017,15
3/28/2017,10
3/29/2017,11
3/30/2017,15
3/31/2017,13
4/1/2017,7
4/2/2017,10
4/3/2017,19
4/4/2017,15
4/5/2017,8
4/6/2017,11
4/7/2017,9
4/8/2017,10
4/9/2017,11
4/10/2017,16
4/11/2017,15
4/12/2017,10
4/13/2017,13
4/14/2017,5
4/15/2017,5
4/16/2017,9
4/17/2017,8
4/18/2017,14
4/19/2017,14
4/20/2017,12
4/21/2017,8
4/22/2017,11
4/23/2017,10
4/24/2017,9
4/25/2017,5
4/26/2017,11
4/27/2017,8
4/28/2017,14
4/29/2017,7
4/30/2017,3
5/1/2017,10
5/2/2017,7
5/3/2017,4
5/4/2017,5
5/5/2017,5
5/6/2017,6
5/7/2017,3
5/8/2017,11
5/9/2017,5
5/10/2017,6
5/11/2017,7
5/12/2017,3
5/13/2017,2
5/14/2017,1
5/15/2017,5
